,number of physical interaction,number of positive genetic interaction,number of negative genetic interaction
YDR260C,21,6.0,66.0
YER177W,258,12.0,106.0
YGL035C,20,3.0,85.0
YIL143C,13,8.0,80.0
YPR018W,13,19.0,97.0
YCR079W,25,2.0,28.0
YGR252W,259,57.0,210.0
YDR510W,181,13.0,148.0
YLL011W,10,10.0,86.0
YGR092W,132,95.0,306.0
YML016C,20,21.0,57.0
YOR026W,7,82.0,316.0
YDL179W,7,2.0,3.0
YDR386W,72,17.0,100.0
YIR005W,15,43.0,150.0
YDR247W,64,1.0,40.0
YNL053W,10,8.0,60.0
YDR306C,9,,27.0
YOL087C,18,1.0,17.0
YNL323W,9,41.0,137.0
YDR339C,2,17.0,84.0
YPL256C,30,8.0,124.0
YML032C,28,50.0,163.0
YJR035W,29,4.0,16.0
YDL156W,321,64.0,191.0
YLR288C,12,20.0,81.0
YDL175C,26,17.0,24.0
YOL102C,3,1.0,98.0
YPL170W,5,5.0,22.0
YHR014W,6,2.0,10.0
YDR419W,15,1.0,40.0
YPL149W,16,5.0,36.0
YGL003C,74,50.0,145.0
YLR247C,49,3.0,17.0
YGR258C,9,2.0,24.0
YPL139C,13,12.0,71.0
YDL200C,19,3.0,50.0
YBR082C,25,16.0,122.0
YJR110W,11,3.0,9.0
YCR014C,3,10.0,26.0
YDR030C,4,1.0,13.0
YJR062C,9,6.0,4.0
YDL017W,51,38.0,195.0
YNL093W,21,2.0,14.0
YIL066C,12,15.0,29.0
YDR490C,21,4.0,42.0
YLR263W,8,2.0,19.0
YMR137C,3,12.0,80.0
YLR016C,5,20.0,34.0
YGL179C,84,8.0,15.0
YCL011C,21,7.0,34.0
YNL182C,28,3.0,42.0
YLR320W,619,20.0,136.0
YKL078W,19,133.0,106.0
YGR052W,49,5.0,26.0
YER117W,4,25.0,94.0
YER017C,7,27.0,111.0
YNL023C,14,,14.0
YPL131W,19,23.0,77.0
YOL062C,13,1.0,15.0
YHR169W,50,,
YLR433C,34,1.0,21.0
YDR227W,53,,
YAL015C,10,,7.0
YJR017C,21,55.0,276.0
YJL068C,3,3.0,91.0
YJR061W,1,,6.0
YNL128W,4,5.0,34.0
YLR442C,44,,
YNR010W,28,91.0,329.0
YKR055W,6,,63.0
YDR499W,15,,
YML112W,8,25.0,101.0
YMR117C,76,36.0,298.0
YJL106W,97,1.0,23.0
YOL006C,26,42.0,121.0
YHR105W,23,,
YGL131C,15,3.0,13.0
YEL021W,2,,
YFR024C-A,93,10.0,33.0
YBL078C,136,4.0,70.0
YKR007W,4,10.0,76.0
YDR016C,17,2.0,34.0
YDR098C,8,2.0,42.0
YDR140W,172,,
YDR162C,22,103.0,310.0
YDR201W,26,,72.0
YHR122W,6,,32.0
YFL059W,3,,
YGL061C,14,85.0,267.0
YGL254W,4,4.0,59.0
YKL023W,8,,3.0
YLR376C,9,9.0,28.0
YOL149W,17,142.0,192.0
YJR103W,3,2.0,32.0
YMR159C,5,7.0,25.0
YGL198W,14,2.0,31.0
YLR423C,37,3.0,30.0
YGR232W,32,1.0,10.0
YLR324W,37,,4.0
YKL181W,7,,
YOL061W,15,29.0,82.0
YJR141W,5,,2.0
YMR032W,48,256.0,77.0
YLR200W,32,100.0,234.0
YMR236W,87,68.0,158.0
YNL258C,10,18.0,29.0
YLR328W,5,1.0,9.0
YIL008W,5,8.0,85.0
YMR294W,19,30.0,176.0
YHR171W,5,9.0,39.0
YOR117W,328,76.0,232.0
YLR258W,8,2.0,6.0
YJL184W,6,1.0,3.0
YJR102C,8,7.0,45.0
YKL002W,15,29.0,145.0
YKL008C,4,3.0,14.0
YOR128C,4,,9.0
YGR061C,1,8.0,48.0
YDR408C,4,2.0,16.0
YMR303C,1,4.0,9.0
YOR023C,7,4.0,145.0
YMR092C,8,3.0,24.0
YOL130W,3,,14.0
YPR185W,31,15.0,28.0
YHL019C,7,1.0,15.0
YDR376W,2,1.0,40.0
YDR106W,3,15.0,55.0
YPR020W,4,3.0,37.0
YPL161C,12,17.0,77.0
YLR319C,14,2.0,58.0
YLR438W,3,,12.0
YGL155W,15,26.0,127.0
YLR245C,1,10.0,50.0
YMR138W,14,5.0,57.0
YCR005C,5,13.0,35.0
YGR108W,4,4.0,21.0
YDL155W,36,1.0,8.0
YAL040C,11,12.0,85.0
YOR303W,1,,
YLR429W,24,,4.0
YHR057C,5,2.0,30.0
YIR032C,1,8.0,53.0
YNL314W,2,11.0,66.0
YGR113W,27,47.0,356.0
YDL160C,289,,
YPR082C,6,,
YPL049C,11,20.0,107.0
YIL150C,28,18.0,148.0
YDR206W,10,3.0,17.0
YOR180C,2,7.0,25.0
YLR390W,2,5.0,8.0
YBR176W,2,1.0,6.0
YJR125C,59,15.0,119.0
YMR052W,8,21.0,142.0
YDR236C,1,2.0,25.0
YGR267C,2,4.0,10.0
YBL042C,1,,8.0
YHR128W,9,,37.0
YOR375C,9,9.0,3.0
YMR255W,5,5.0,9.0
YML094W,6,153.0,287.0
YML006C,6,2.0,15.0
YJL137C,3,2.0,14.0
YCL040W,4,,17.0
YOL059W,11,13.0,35.0
YPL059W,6,,
YDR108W,17,65.0,224.0
YOR185C,9,3.0,45.0
YJR074W,505,133.0,172.0
YML121W,27,9.0,76.0
YJL110C,62,2.0,14.0
YOR202W,1,,
YER062C,2,2.0,17.0
YOR025W,5,12.0,128.0
YOL012C,72,49.0,309.0
YGL192W,2,,6.0
YGL150C,62,18.0,163.0
YDR315C,5,24.0,162.0
YHR079C,87,31.0,177.0
YLL027W,9,4.0,48.0
YER180C,4,15.0,43.0
YOR226C,7,2.0,21.0
YCL055W,3,3.0,26.0
YDR017C,9,1.0,29.0
YHR158C,38,8.0,29.0
YDR122W,26,1.0,23.0
YER127W,7,27.0,96.0
YNL104C,3,9.0,46.0
YKL205W,9,7.0,35.0
YDR503C,1,5.0,14.0
YDR439W,54,102.0,193.0
YGR057C,3,26.0,108.0
YGL154C,2,,
YCR020C-A,8,,
YPR046W,42,6.0,97.0
YJR135C,13,10.0,70.0
YMR112C,3,75.0,192.0
YNL210W,9,2.0,16.0
YPL038W,1,,18.0
YOL088C,18,7.0,69.0
YKL142W,13,1.0,14.0
YGR014W,29,,7.0
YDL154W,7,1.0,
YGR158C,15,5.0,73.0
YAL034W-A,29,6.0,73.0
YML031W,27,,
YFR002W,23,,33.0
YGL221C,1,,6.0
YPL174C,89,18.0,146.0
YDR001C,8,2.0,16.0
YOL069W,63,5.0,72.0
YER105C,22,6.0,33.0
YLR335W,26,4.0,56.0
YGR119C,45,68.0,222.0
YOR269W,52,76.0,129.0
YGL134W,12,1.0,18.0
YDL127W,8,2.0,21.0
YIL013C,5,,28.0
YGR240C,10,31.0,57.0
YMR129W,29,8.0,57.0
YMR267W,3,168.0,223.0
YNR032W,7,3.0,94.0
YOR362C,22,25.0,172.0
YJL001W,20,14.0,8.0
YMR314W,32,16.0,9.0
YER023W,3,,
YBR237W,20,7.0,71.0
YER089C,10,3.0,74.0
YOR348C,3,7.0,41.0
YOR368W,8,23.0,87.0
YER162C,12,11.0,56.0
YOR127W,17,1.0,32.0
YLR071C,40,4.0,77.0
YHL027W,2,22.0,172.0
YOR210W,16,122.0,262.0
YDL150W,20,4.0,125.0
YGL189C,2,1.0,20.0
YER131W,4,4.0,20.0
YLR264W,4,8.0,74.0
YER102W,2,5.0,21.0
YBL025W,7,,
YJL025W,11,5.0,58.0
YMR270C,7,9.0,91.0
YCR027C,2,3.0,35.0
YGR213C,1,1.0,8.0
YGL175C,13,6.0,74.0
YGL229C,13,2.0,19.0
YMR079W,12,12.0,48.0
YNL287W,14,1.0,32.0
YDR077W,2,5.0,38.0
YDL212W,23,35.0,126.0
YNL236W,25,119.0,380.0
YGR229C,22,41.0,236.0
YMR095C,3,2.0,28.0
YMR096W,5,4.0,64.0
YFL060C,4,,4.0
YDL098C,2,3.0,60.0
YKR037C,19,,
YNL012W,1,1.0,11.0
YHL022C,5,3.0,21.0
YDR218C,2,,22.0
YDR308C,13,3.0,110.0
YLR082C,10,8.0,21.0
YDR292C,3,45.0,161.0
YHR184W,5,1.0,38.0
YLR362W,37,,
YHR084W,24,,
YJR086W,4,,
YLR305C,8,27.0,135.0
YDR416W,21,1.0,5.0
YML015C,17,19.0,75.0
YPR048W,11,4.0,120.0
YKL028W,25,18.0,100.0
YGR144W,1,1.0,45.0
YPL214C,1,19.0,43.0
YLL028W,1,6.0,14.0
YDR074W,7,10.0,100.0
YDR472W,13,9.0,120.0
YOR115C,12,9.0,60.0
YDL064W,121,17.0,87.0
YER144C,3,,20.0
YDR207C,25,19.0,147.0
YNR012W,4,14.0,28.0
YGL212W,44,39.0,168.0
YPL253C,5,2.0,53.0
YHR060W,4,13.0,58.0
YOR132W,11,72.0,186.0
YJL154C,18,31.0,120.0
YLR417W,8,7.0,75.0
YOL105C,1,1.0,4.0
YIR018W,3,1.0,5.0
YAR031W,6,12.0,21.0
YBR006W,3,1.0,11.0
YBR052C,3,2.0,8.0
YBR077C,9,10.0,66.0
YBR141C,2,20.0,101.0
YBR228W,4,5.0,57.0
YBR244W,3,2.0,32.0
YBR270C,8,,48.0
YCL020W,3,,
YCL024W,39,2.0,2.0
YCR004C,1,1.0,31.0
YCR086W,50,33.0,161.0
YDL012C,6,,25.0
YDL063C,3,2.0,57.0
YDL089W,10,7.0,10.0
YDL110C,2,2.0,56.0
YDL113C,6,9.0,30.0
YDL133W,1,7.0,102.0
YDL146W,2,3.0,44.0
YDL203C,6,20.0,94.0
YDL239C,43,,3.0
YDL246C,2,3.0,62.0
YDR013W,16,39.0,161.0
YDR026C,8,12.0,70.0
YDR032C,6,2.0,43.0
YDR051C,5,3.0,9.0
YDR061W,2,4.0,76.0
YDR063W,9,2.0,41.0
YDR070C,1,1.0,9.0
YDR071C,3,18.0,92.0
YDR084C,2,4.0,28.0
YDR115W,1,26.0,99.0
YDR132C,5,1.0,9.0
YDR179C,17,14.0,55.0
YDR214W,21,2.0,47.0
YDR255C,3,,3.0
YDR279W,1,5.0,80.0
YDR326C,4,2.0,26.0
YDR348C,2,3.0,44.0
YDR357C,7,3.0,9.0
YDR400W,3,6.0,35.0
YFR042W,1,47.0,175.0
YFR043C,5,2.0,48.0
YFR047C,1,3.0,15.0
YGL051W,9,1.0,6.0
YGL096W,1,1.0,25.0
YGL161C,2,4.0,34.0
YGL230C,3,,
YGL242C,1,1.0,41.0
YGR010W,2,2.0,11.0
YGR017W,3,4.0,27.0
YGR024C,4,7.0,56.0
YGR058W,5,7.0,29.0
YGR068C,4,5.0,37.0
YGR122W,2,22.0,113.0
YGR154C,1,6.0,44.0
YGR250C,18,9.0,16.0
YGR278W,14,2.0,78.0
YGR294W,1,3.0,44.0
YHL006C,4,3.0,10.0
YHL018W,6,6.0,57.0
YHL046C,1,1.0,17.0
YHR039C,12,5.0,37.0
YHR083W,14,4.0,38.0
YHR111W,26,11.0,125.0
YHR204W,5,4.0,8.0
YIL011W,1,1.0,7.0
YIL065C,87,10.0,51.0
YIL074C,5,,11.0
YIL105C,13,9.0,48.0
YIL132C,7,7.0,48.0
YIL151C,5,2.0,23.0
YJL048C,3,,17.0
YJL112W,18,,13.0
YJL160C,1,1.0,26.0
YJR024C,1,3.0,10.0
YJR072C,35,,15.0
YKL090W,3,,
YKL116C,32,11.0,47.0
YKR011C,5,1.0,17.0
YKR022C,17,2.0,3.0
YKR060W,1,2.0,21.0
YKR083C,28,18.0,111.0
YKR096W,1,14.0,84.0
YKR104W,1,,42.0
YLL049W,8,65.0,206.0
YLL057C,1,2.0,13.0
YLL062C,2,,1.0
YLR015W,17,14.0,190.0
YLR046C,1,,6.0
YLR065C,127,2.0,82.0
YLR215C,7,6.0,70.0
YLR315W,20,,17.0
YLR345W,8,3.0,39.0
YLR368W,10,2.0,32.0
YLR392C,2,1.0,6.0
YML053C,3,2.0,60.0
YML068W,4,14.0,16.0
YML114C,18,27.0,200.0
YML119W,1,32.0,20.0
YMR025W,6,5.0,25.0
YMR068W,7,1.0,46.0
YMR077C,15,8.0,60.0
YMR102C,3,1.0,13.0
YMR210W,1,3.0,43.0
YMR269W,1,9.0,30.0
YMR312W,6,30.0,147.0
YMR322C,6,6.0,71.0
YNL218W,6,3.0,24.0
YNR004W,3,8.0,66.0
YNR029C,5,1.0,21.0
YNR068C,1,2.0,37.0
YOL070C,10,4.0,48.0
YOL111C,24,11.0,219.0
YOR138C,8,2.0,28.0
YOR215C,1,4.0,14.0
YNL078W,15,6.0,53.0
YNL086W,22,2.0,69.0
YNL091W,10,10.0,109.0
YOR220W,4,2.0,16.0
YOR264W,2,9.0,36.0
YPL019C,12,6.0,11.0
YPL110C,5,2.0,5.0
YPL192C,2,1.0,16.0
YPL222W,1,2.0,9.0
YPL260W,2,3.0,18.0
YPR105C,22,117.0,398.0
YNL122C,2,,41.0
YPR152C,164,2.0,25.0
YDR002W,5,5.0,142.0
YHR016C,61,,7.0
YMR243C,2,1.0,29.0
YDR448W,68,2.0,93.0
YBR111W-A,113,32.0,206.0
YIR025W,13,,18.0
YKL052C,12,19.0,175.0
YOR078W,28,5.0,9.0
YNL288W,56,31.0,101.0
YKL022C,17,7.0,63.0
YBL084C,34,12.0,180.0
YPR101W,28,39.0,183.0
YMR168C,10,111.0,121.0
YLR129W,7,5.0,52.0
YML071C,13,19.0,200.0
YER157W,30,164.0,430.0
YGR120C,15,5.0,135.0
YGL005C,10,25.0,195.0
YGL223C,13,,4.0
YNL041C,15,59.0,307.0
YNL051W,11,74.0,357.0
YJR112W,57,1.0,101.0
YLR384C,13,21.0,127.0
YPL086C,9,27.0,166.0
YPL101W,5,29.0,162.0
YHR187W,7,16.0,103.0
YPR144C,263,3.0,13.0
YDL148C,39,,
YGL194C,8,21.0,124.0
YKR029C,11,28.0,161.0
YCR033W,7,86.0,174.0
YIL112W,7,6.0,41.0
YDR310C,7,68.0,223.0
YPL209C,91,34.0,127.0
YPR133C,9,62.0,241.0
YDR449C,47,1.0,58.0
YGR156W,13,73.0,331.0
YNL222W,25,19.0,177.0
YKL018W,32,1.0,54.0
YIL144W,63,13.0,116.0
YGL093W,53,51.0,240.0
YPL093W,84,42.0,173.0
YNR053C,86,17.0,96.0
YLR009W,52,59.0,197.0
YDL014W,25,12.0,46.0
YCR052W,16,67.0,198.0
YGR047C,20,,46.0
YGL153W,31,5.0,60.0
YGR077C,7,2.0,30.0
YJL210W,11,2.0,16.0
YGR063C,26,7.0,30.0
YDL153C,23,7.0,61.0
YCL010C,116,,2.0
YDR145W,92,71.0,237.0
YGL066W,92,23.0,184.0
YPL011C,14,49.0,200.0
YMR005W,37,1.0,21.0
YMR227C,28,14.0,65.0
YOL072W,15,24.0,77.0
YDR334W,33,25.0,184.0
YBR231C,19,3.0,11.0
YMR223W,79,67.0,132.0
YKL099C,3,4.0,3.0
YML093W,169,1.0,57.0
YML041C,18,82.0,326.0
YKL089W,27,11.0,87.0
YNL271C,125,13.0,109.0
YCR038C,7,,
YJL194W,24,20.0,97.0
YGR218W,766,2.0,17.0
YEL030W,1,6.0,61.0
YGR098C,155,12.0,95.0
YOR232W,27,14.0,116.0
YJL076W,14,,
YDR028C,10,18.0,9.0
YBR275C,4,1.0,25.0
YKL051W,2,1.0,4.0
YJL203W,29,6.0,132.0
YDR103W,20,,
YIL022W,14,,
YJL081C,33,1.0,15.0
YKL114C,6,1.0,10.0
YHR005C,22,,
YOR036W,11,,32.0
YPL268W,7,3.0,9.0
YBR037C,2,27.0,111.0
YMR190C,23,1271.0,1127.0
YLR182W,16,13.0,71.0
YNL102W,37,28.0,287.0
YPR135W,35,31.0,247.0
YDR085C,4,,
YGR006W,3,4.0,120.0
YPR181C,69,13.0,153.0
YOR148C,2,,
YGL166W,3,4.0,49.0
YFL039C,82,246.0,853.0
YHR099W,37,3.0,62.0
YDR176W,30,5.0,43.0
YNL148C,3,4.0,25.0
YML124C,27,6.0,58.0
YGR225W,6,15.0,26.0
YBR211C,47,45.0,183.0
YGR179C,24,85.0,251.0
YNL172W,24,177.0,291.0
YGL180W,249,32.0,57.0
YKL013C,3,,
YKL129C,36,1.0,18.0
YPR034W,32,,
YMR033W,13,27.0,155.0
YIL126W,47,3.0,1.0
YJL176C,12,69.0,225.0
YGR097W,9,1.0,9.0
YDL149W,95,6.0,18.0
YIL004C,23,30.0,172.0
YLR093C,46,,1.0
YOL078W,4,108.0,298.0
YKL203C,21,42.0,234.0
YER093C,81,128.0,256.0
YIL140W,5,13.0,66.0
YKR099W,3,23.0,75.0
YML077W,9,21.0,217.0
YDR246W,6,22.0,182.0
YOR198C,18,31.0,38.0
YER016W,42,48.0,261.0
YNL233W,3,10.0,80.0
YNR051C,365,91.0,427.0
YER151C,422,45.0,301.0
YGR246C,169,,6.0
YBL097W,12,7.0,122.0
YGR188C,18,72.0,213.0
YJL013C,5,1.0,58.0
YJR092W,6,,17.0
YMR275C,7,10.0,84.0
YPR161C,80,169.0,446.0
YLR226W,5,1.0,1.0
YJR060W,15,35.0,189.0
YIL129C,2,145.0,512.0
YFR036W,7,3.0,39.0
YLR310C,44,74.0,246.0
YKL101W,86,45.0,185.0
YDR054C,36,1.0,64.0
YOR057W,16,84.0,267.0
YCL061C,17,13.0,152.0
YNL273W,15,40.0,197.0
YGL113W,13,4.0,60.0
YLR274W,55,13.0,95.0
YPR052C,8,8.0,29.0
YJR046W,17,23.0,56.0
YNL298W,65,68.0,292.0
YPR120C,25,21.0,86.0
YGR167W,10,55.0,308.0
YGR062C,6,2.0,80.0
Q0250,12,,
YGL238W,8,13.0,197.0
YPL018W,73,8.0,121.0
YLR381W,20,8.0,77.0
YHR191C,6,48.0,246.0
YJL006C,30,9.0,35.0
YJL036W,25,7.0,78.0
YBR112C,39,3.0,56.0
YDR052C,34,50.0,406.0
YOR046C,16,33.0,164.0
YHR144C,1,49.0,150.0
YJL065C,5,9.0,62.0
YDR121W,14,2.0,34.0
YLL001W,10,8.0,53.0
YGL222C,2,54.0,161.0
YPL037C,19,4.0,26.0
YOR144C,23,39.0,157.0
YCR034W,6,44.0,27.0
YLR372W,5,91.0,71.0
YNL084C,35,22.0,148.0
YIR006C,20,122.0,280.0
YIL005W,2,4.0,33.0
YOR033C,21,6.0,58.0
YOR317W,2,8.0,17.0
YBR041W,2,14.0,65.0
YOR372C,2,,
YDR110W,17,,6.0
YDR373W,6,15.0,147.0
YBL016W,117,108.0,69.0
YBR179C,9,9.0,66.0
YOR178C,1,1.0,17.0
YOL051W,32,6.0,34.0
YDR009W,2,2.0,25.0
YNL062C,4,16.0,140.0
YGL195W,29,30.0,116.0
YPL240C,901,,2.0
YDR507C,56,3.0,89.0
YBR050C,2,,12.0
YKR030W,3,,37.0
YDR295C,89,14.0,129.0
YPR179C,6,7.0,63.0
YBR010W,525,6.0,47.0
YBL008W,17,47.0,205.0
YOR038C,15,37.0,178.0
YDL125C,3,2.0,41.0
YIL072W,3,6.0,33.0
YGL033W,2,1.0,25.0
YPR068C,5,4.0,35.0
YBR133C,6,5.0,81.0
YJL159W,5,2.0,31.0
YGL241W,18,13.0,46.0
YDR224C,134,53.0,97.0
YCR020W-B,24,19.0,47.0
YGL253W,10,10.0,68.0
YHR148W,5,,
YNL075W,24,1.0,6.0
YJL034W,56,338.0,127.0
YJR045C,503,36.0,251.0
YPR141C,25,7.0,125.0
YPL269W,19,4.0,71.0
YGR238C,11,2.0,42.0
YDL108W,42,92.0,190.0
YJR066W,33,21.0,98.0
YMR296C,7,52.0,255.0
YHR098C,8,84.0,277.0
YGL086W,14,33.0,125.0
YMR153W,28,9.0,70.0
YJL030W,29,38.0,111.0
YEL032W,42,131.0,211.0
YDR318W,21,2.0,73.0
YOL009C,7,17.0,95.0
YPR070W,29,17.0,200.0
YPR168W,17,12.0,66.0
YHR058C,13,44.0,200.0
YBR193C,31,72.0,243.0
YPL169C,68,34.0,139.0
YGL106W,16,,
YIL149C,234,1.0,15.0
YLL006W,40,77.0,318.0
YBR098W,11,15.0,105.0
YJL183W,22,54.0,315.0
YPL050C,11,,
YIL106W,66,,10.0
YDL028C,70,97.0,349.0
YMR224C,18,26.0,201.0
YMR037C,5,5.0,74.0
YMR016C,7,12.0,43.0
YDR277C,6,,25.0
YKL186C,7,9.0,102.0
YFL005W,26,1.0,86.0
YMR109W,58,12.0,107.0
YOR253W,4,,4.0
YGL013C,7,11.0,98.0
YCL054W,13,2.0,
YLR197W,20,22.0,107.0
YOL144W,7,5.0,81.0
YPR072W,24,,
YNL183C,36,4.0,70.0
YNL251C,36,9.0,68.0
YDR043C,4,21.0,93.0
YBR066C,3,,20.0
YLR007W,4,26.0,93.0
YBR188C,13,1.0,29.0
YDR150W,44,7.0,103.0
YOR098C,42,,
YOR106W,23,29.0,115.0
YKL196C,32,73.0,318.0
YLL004W,24,24.0,128.0
YOR085W,10,76.0,204.0
YER165W,87,69.0,357.0
YIL071C,10,,33.0
YIL050W,9,4.0,23.0
YHR064C,41,1.0,3.0
YER149C,11,,5.0
YLL021W,31,1.0,37.0
YMR257C,4,15.0,142.0
YDR265W,11,9.0,50.0
YMR026C,11,18.0,99.0
YDL065C,6,6.0,29.0
YNL267W,7,8.0,110.0
YNL262W,27,55.0,237.0
YJR006W,7,8.0,105.0
YJR043C,11,16.0,174.0
YOR208W,7,5.0,8.0
YCR066W,13,11.0,83.0
YPL096W,2,1.0,14.0
YLR032W,14,26.0,77.0
YNL216W,26,171.0,479.0
YJR033C,8,2.0,41.0
YLR329W,2,2.0,25.0
YHR157W,2,1.0,38.0
YOR217W,15,42.0,197.0
YOR279C,2,2.0,30.0
YCL028W,33,,
YGR180C,14,10.0,96.0
YOR018W,6,1.0,12.0
YGL144C,3,4.0,45.0
YPR010C,75,,
YDR156W,7,21.0,122.0
YOR340C,26,11.0,78.0
YOL005C,22,79.0,268.0
YPR102C,5,44.0,69.0
YPR187W,13,12.0,15.0
YHR062C,9,22.0,158.0
YGR184C,15,6.0,71.0
YKL125W,13,2.0,60.0
YBL014C,5,,
YDR087C,40,18.0,118.0
YCR035C,107,34.0,63.0
YGL252C,17,9.0,82.0
YMR263W,11,45.0,211.0
YMR127C,21,11.0,37.0
YOR213C,9,4.0,34.0
YBL052C,12,9.0,80.0
YDR181C,5,3.0,64.0
YER087C-B,61,3.0,66.0
YOR327C,25,16.0,56.0
YGL233W,14,9.0,114.0
YBL050W,13,19.0,174.0
YDR498C,14,81.0,225.0
YIL109C,90,14.0,99.0
YPR055W,11,10.0,129.0
YGR009C,11,21.0,118.0
YAL030W,10,,7.0
YPR032W,7,81.0,124.0
YPL232W,32,3.0,20.0
YLR026C,62,23.0,64.0
YMR197C,20,91.0,314.0
YOR140W,10,5.0,67.0
YLR234W,15,1.0,21.0
YJL089W,5,2.0,63.0
YDR409W,93,11.0,46.0
YLR398C,19,20.0,62.0
YOR076C,16,11.0,52.0
YHR206W,8,7.0,95.0
YNL167C,5,1.0,16.0
YNL243W,21,313.0,531.0
YDR489W,39,5.0,57.0
YBR156C,26,26.0,203.0
YGL098W,8,37.0,195.0
YLR135W,18,35.0,165.0
YFR031C,7,3.0,33.0
YDR073W,11,3.0,25.0
YOR290C,55,15.0,46.0
YHL025W,18,10.0,26.0
YER018C,70,2.0,57.0
YAL047C,77,,
YHR172W,20,,
YNL126W,8,5.0,49.0
YOL148C,36,,
YDR392W,17,37.0,220.0
YLR055C,65,29.0,153.0
YPL042C,50,110.0,141.0
YJL143W,9,,6.0
YNR017W,324,54.0,132.0
YMR183C,18,29.0,122.0
YLR369W,5,,
YDR086C,9,16.0,133.0
YOR047C,7,4.0,45.0
YFL026W,9,,
YHL007C,115,3.0,6.0
YCL032W,78,7.0,5.0
YKL209C,12,9.0,86.0
YDL159W,17,,
YDR082W,5,18.0,97.0
YLR010C,5,,
YBL034C,9,103.0,354.0
YLR045C,23,86.0,406.0
YDR381W,91,9.0,201.0
YPL237W,16,14.0,70.0
YER111C,13,27.0,234.0
YGR129W,6,4.0,37.0
YAL014C,7,9.0,48.0
YHR005C-A,16,,
YBR091C,8,,
YOR297C,9,48.0,210.0
YJL054W,2,33.0,219.0
YGL145W,10,43.0,95.0
YDR468C,15,27.0,223.0
YOL018C,46,62.0,290.0
YGR082W,21,3.0,52.0
YNL131W,291,,
YMR203W,26,,
YPR133W-A,6,1.0,14.0
YKL110C,8,16.0,111.0
YNL299W,25,28.0,147.0
YLR043C,9,,9.0
YDR390C,7,,
YKL010C,25,14.0,64.0
YOR075W,14,10.0,89.0
YDR470C,7,,29.0
YOR211C,3,69.0,141.0
YPL020C,81,2.0,105.0
YHR077C,51,9.0,94.0
YGR072W,6,9.0,60.0
YDR323C,5,7.0,58.0
YLR386W,8,22.0,89.0
YCL063W,3,,6.0
YDL077C,836,17.0,116.0
YMR231W,16,,1.0
YPL045W,13,,3.0
YLR396C,20,,2.0
YDL185W,17,38.0,287.0
YOR270C,27,26.0,68.0
YKL041W,7,43.0,231.0
YPL002C,11,10.0,47.0
YCL008C,35,110.0,235.0
YJL053W,9,34.0,137.0
YOR069W,11,19.0,100.0
YKR020W,6,36.0,206.0
YDR027C,17,42.0,107.0
YNL197C,4,47.0,100.0
YDR325W,4,49.0,92.0
YDR212W,9,28.0,173.0
YNL263C,22,,12.0
YGR172C,7,37.0,238.0
YKR095W,105,6.0,50.0
YOR064C,14,19.0,54.0
YHR090C,18,141.0,222.0
YOR373W,10,,
YDR057W,11,7.0,37.0
YNL304W,7,9.0,150.0
YML001W,59,10.0,99.0
YKL214C,3,5.0,48.0
YER110C,69,39.0,164.0
YMR089C,3,23.0,132.0
YLR394W,13,40.0,107.0
YHR114W,87,11.0,69.0
YBR045C,3,1.0,9.0
YFL003C,4,8.0,39.0
YER008C,14,6.0,106.0
YPL255W,5,,
YLR078C,18,77.0,228.0
YBR131W,8,28.0,103.0
YOR257W,36,,
YLL003W,6,3.0,60.0
YLR318W,8,,
YBL071W-A,20,29.0,86.0
YLR203C,66,2.0,59.0
YKL068W,60,5.0,32.0
YGL092W,25,8.0,130.0
YML103C,13,79.0,264.0
YGL172W,32,1.0,4.0
YDL088C,22,13.0,74.0
YPL154C,5,4.0,89.0
YNL097C,10,112.0,401.0
YFR034C,138,9.0,30.0
YDR137W,6,92.0,288.0
YGR056W,23,60.0,118.0
YDR180W,805,16.0,168.0
YCR067C,2,9.0,50.0
YDR425W,17,,9.0
YDR356W,45,,
YKL020C,15,8.0,50.0
YLR181C,7,,
YNL044W,12,,23.0
YKL155C,21,14.0,27.0
YLR256W,4,4.0,32.0
YGL200C,28,18.0,84.0
YPL248C,64,6.0,26.0
YMR307W,5,91.0,346.0
YGL073W,18,30.0,188.0
YMR150C,2,6.0,60.0
YKL073W,4,74.0,155.0
YNL121C,15,9.0,114.0
YOR103C,7,15.0,124.0
YDL232W,10,151.0,247.0
YGL226C-A,2,6.0,20.0
YML019W,10,5.0,84.0
YMR149W,15,25.0,187.0
YER154W,71,,39.0
YOR254C,65,51.0,282.0
YLR008C,11,,101.0
YKL119C,1,39.0,132.0
YDR216W,14,13.0,38.0
YPR029C,18,16.0,68.0
YOR141C,20,90.0,289.0
YPR122W,2,,
YLR353W,4,2.0,14.0
YGR041W,1,11.0,67.0
YDR168W,35,47.0,250.0
YPL228W,8,89.0,249.0
YGL019W,33,26.0,177.0
YPL181W,24,63.0,175.0
YMR276W,31,8.0,31.0
YFR027W,22,6.0,69.0
YLR080W,4,4.0,44.0
YFL048C,8,,
YOL017W,3,17.0,68.0
YMR232W,3,3.0,44.0
YEL009C,39,74.0,101.0
YGL025C,24,4.0,26.0
YDR358W,6,2.0,52.0
YER040W,8,66.0,228.0
YOR371C,5,1.0,
YKL109W,10,2.0,58.0
YDR123C,13,13.0,129.0
YOR298C-A,2,21.0,78.0
YPR019W,64,6.0,38.0
YAR033W,3,5.0,35.0
