Majority protein IDs,hYPS1009 wt rep1,hYPS1009 wt rep2,hYPS1009 wt rep3
YDL148C,3005700000,3595600000,3041800000
YMR318C,2482600000,2522600000,2493500000
YIL136W,2165100000,2307400000,2469600000
YLR022C,2343400000,2849300000,2471200000
YKL204W,2450400000,3263800000,2367900000
YBL058W,2843000000,3137700000,2700200000
YDL031W,2924500000,3240200000,2792300000
YFR004W,2492300000,1955500000,2329400000
YMR099C,3023000000,2747800000,2928300000
YOR145C,3648800000,3594700000,3296600000
YPR024W,1964000000,2374300000,2130800000
YPR124W,2197300000,1342300000,1885200000
YNL118C,2761300000,3060900000,2567100000
YOR272W,4349100000,4394000000,4165000000
YCR028C-A,6248900000,7130100000,6671200000
YCR077C,3228000000,3751200000,3037300000
YHL007C,2644200000,2883500000,2489500000
YPL063W,2608200000,2627900000,2692300000
YOR276W,3881500000,4042300000,5646500000
YNL243W,2568800000,2518200000,2354400000
YEL042W,2442000000,2632200000,2447500000
YDL198C,2231900000,2423700000,2259100000
YDL015C,2406500000,2126300000,2447300000
YCR030C,2411200000,2797400000,2394400000
YDR011W,2583700000,2167600000,2618600000
YER042W,1906600000,2549300000,2154900000
YEL021W,2664800000,2568500000,2430800000
YDL058W,2108700000,2684100000,2134400000
YFL004W,2317000000,2357300000,2191700000
YGL197W,2123100000,2549400000,2764400000
YNL308C,3294000000,3863700000,3067400000
YLR056W,2908900000,2637300000,2947400000
YMR105C,2905900000,2211800000,2677200000
YOR184W,3388100000,3100500000,3571100000
YER082C,2754900000,2914900000,2663800000
YDR033W,2052300000,1548000000,1859300000
YJL109C,3400500000,2368500000,3433900000
YPL050C,1696000000,1575800000,1466500000
YOR340C,2728500000,2853000000,2821400000
YLL001W,2424500000,2324600000,2429800000
YBL022C,2308900000,2545300000,2377900000
YML124C,2547500000,2447000000,2409400000
YGL195W,4128300000,2912400000,4281000000
YPR062W,3393000000,4056800000,3840500000
YPL012W,3254500000,2684300000,3481900000
YNL088W,2500900000,2481700000,2709200000
YKL216W,2784700000,3203100000,2771900000
YMR083W,3304200000,2857300000,3047800000
YLR208W,3501600000,2562300000,3580100000
YOR254C,2137600000,1729200000,1916200000
YNL031C;YBR010W,3156900000,3489400000,4624900000
YNR050C,5036100000,4036200000,4788300000
YER125W,3198700000,3212500000,3231100000
YOR086C,2335300000,2675700000,2424000000
YDL130W,4462500000,4508200000,5114400000
YAR002W,2422200000,2996400000,2389400000
YML012W,2903600000,2838500000,2842600000
YML069W,2685600000,2715000000,2539800000
YLR413W,1443700000,1722100000,1235400000
YOR259C,3216600000,3105100000,3317100000
YLR257W,3933900000,5125400000,4234700000
YDL040C,3436500000,2879400000,3354900000
YPR108W,2600600000,2109100000,2920400000
YGL031C,6709400000,7312500000,7164500000
YBR245C,2775200000,2759100000,2632500000
YDR507C,2219000000,2594200000,2223800000
YGL099W,2543100000,2644800000,2394700000
YJR014W,1851000000,2370000000,2386400000
YPL118W,1810100000,2299500000,1849900000
YDL160C,2940500000,2823400000,2910000000
YBR115C,3563600000,2690000000,3648000000
YPR072W,2148600000,2624000000,2185500000
YPL212C,2928100000,2942800000,2629700000
YKL142W,1575400000,1683100000,2079300000
YDR214W,2460500000,2206800000,2520900000
YOL030W,2017800000,2134300000,1940100000
YDR388W,2376200000,2450700000,2307400000
YOR051C,2243700000,2038900000,2405900000
YOR020C,1326800000,2359100000,1207600000
YPR004C,2191400000,2520700000,2279700000
YKR016W,1998400000,2131700000,1939200000
YLR390W-A,1635600000,2042200000,1934000000
YGL040C,2906100000,2613800000,2869800000
YMR086W,2507100000,3052500000,2529700000
YPR016C,5136600000,4477100000,4579500000
YJL177W,2699700000,3067300000,2663500000
YGR082W,3290100000,2777500000,3495500000
YPR129W,2239200000,2698500000,2438800000
YFR010W,2212700000,2216000000,2259800000
YNL231C,2429300000,1891800000,2709700000
YAR015W,2703100000,2581800000,2391800000
YDL225W,2346000000,2585900000,2189900000
YOR116C,3003800000,3086900000,2977700000
YBL041W,2360200000,1945300000,2316300000
YPR165W,2890400000,2668000000,3171200000
YDR346C,2376900000,2087700000,2326100000
YLL048C,2134400000,1793200000,2146200000
YNL030W;YBR009C,1644200000,2469300000,1611800000
YDR175C,1689700000,2447400000,2065100000
YPL146C,2555000000,3388100000,2741800000
YER052C,2314600000,2094300000,2403800000
YNL186W,2400200000,2921600000,2548300000
YKL201C,2369900000,2639500000,2271500000
YFR052W,1598700000,1719200000,1700500000
YBR172C,2101500000,2585100000,2115700000
YOR056C,2341200000,2529200000,2491000000
YER080W,2243700000,2449700000,2243300000
YGR207C,1680100000,2015600000,1903300000
YCL017C,2460900000,2373900000,2581100000
YOR128C,2882700000,2373000000,2902300000
YGL097W,2980300000,3387600000,3027800000
YJL121C,2301600000,2614200000,2445700000
YDR398W,2823800000,2438300000,2637400000
YIL094C,3513600000,2874400000,3106600000
YOR326W,2710300000,2287500000,2662500000
YER055C,2951300000,2473400000,2912400000
YHR200W,1704500000,1877000000,1573800000
YER151C,2159800000,2216600000,2039700000
YOR042W,2955900000,3501700000,2981900000
YEL051W,3098300000,3809700000,3539600000
YHR108W,2606000000,2282600000,2351400000
YLR106C,2947700000,2321500000,2956700000
YJL148W,3577700000,4336200000,3479900000
YNL087W,2455000000,2537400000,2486800000
YDR120C,2738800000,2726900000,2738300000
YGR186W,2049300000,2380800000,1930400000
YDL168W,2060900000,1976900000,1902100000
YJR072C,2068200000,2319600000,1977100000
YJR065C,2618800000,2692300000,2373500000
YKL082C,3102400000,3796000000,3336500000
YDR174W,3400600000,4170300000,3254300000
YKL179C,2171600000,2454800000,2132600000
YEL024W,1874900000,1894300000,1692200000
YML001W,1726500000,1674000000,1496400000
YGL256W,1051600000,835720000,954410000
YDR170C,2255600000,2216300000,2327300000
YCL064C,3316600000,3167300000,3532100000
YNL131W,3753000000,3892700000,5315200000
YJL033W,2531600000,2693900000,2712800000
YMR024W,2507000000,2396000000,2658200000
YDR145W,1879300000,2162500000,1857800000
YBR155W,1996700000,2324700000,1975800000
YGR165W,1639100000,1975000000,1609400000
YBR034C,2491400000,2290300000,2705300000
YLR009W,3211300000,3180700000,3649600000
YLR229C,1943200000,2182300000,2037300000
YLL011W,2131500000,2228600000,2142300000
YKL211C,2646400000,2244500000,2680300000
YPR137W,2522300000,2557500000,2427700000
YMR129W,2034900000,2103900000,1997400000
YJL158C,2682300000,2791400000,2590700000
YML123C,1765500000,1461400000,1723300000
YLR347C,3350400000,3015100000,3304900000
YOR232W,2172600000,2410000000,2975100000
YGL092W,1946100000,2088900000,2013100000
YDL131W,2561300000,2868600000,2359200000
YHR158C,1924300000,2123600000,1862200000
YOR165W,1820800000,1730700000,1723600000
YDL174C,2276200000,2467800000,2301400000
YFL005W,2089800000,2012300000,2202500000
YBR035C,1861000000,2338800000,1999500000
YHR037W,2084200000,1878300000,2077500000
YLR309C,1744300000,2100600000,1655500000
YKL127W,2286800000,2298400000,2219300000
YOR243C,1948200000,1982900000,2153400000
YCL011C,1996800000,2383600000,1842800000
YER136W,2605600000,2159700000,2681200000
YEL037C,1843300000,1672200000,1554800000
YKL157W,2255700000,1865900000,2298000000
YIL109C,2860700000,2090200000,2932900000
YGR245C,2471200000,2812500000,2377800000
YML025C,1620400000,1609700000,1551000000
YJL171C,1204300000,1347100000,1107300000
YNL154C,2086100000,2027200000,2052700000
YHR205W,2228500000,2443300000,2429900000
YJR144W,1879900000,2305800000,1934000000
YBL054W,1736200000,2202400000,1742700000
YMR091C,1852700000,2118600000,1719500000
YER007C-A,1682200000,1941700000,1669800000
YML128C,998300000,1183500000,1085500000
YMR214W,1759300000,1917900000,1687400000
YDR368W,2330900000,1957000000,2241300000
YOR120W,1588800000,1778900000,1577500000
YOR317W,1447500000,1291900000,1508800000
YKR043C,2698500000,2533300000,2524700000
YKL040C,1456400000,1482700000,1366200000
YDL153C,2139700000,2447000000,2030000000
YNL005C,1450000000,1773300000,1458700000
YDL121C,1833200000,2212900000,1736500000
YBR023C,1132100000,1159200000,1151500000
YBL091C,2192700000,2361200000,2128400000
YDL150W,2551700000,2751900000,2689500000
YIL070C,1826900000,1964500000,2253100000
YDL060W,2726300000,2660500000,2626600000
YPL049C,1692600000,1853900000,1591400000
YPL173W,1711800000,2189100000,1902600000
YGL171W,2155300000,2009700000,2131600000
YMR215W,2043500000,2357000000,2162900000
YKL077W,1737800000,2135200000,1761200000
YER031C,1505700000,1788900000,1734200000
YKR056W,1884900000,2168700000,1925100000
YLL040C,2374600000,2274500000,2399300000
YMR089C,1373800000,1369200000,1417700000
YPR160W,1993700000,1472600000,2045000000
YLR017W,2517100000,2465900000,2727400000
YHR135C,1797100000,1989200000,1849300000
YPR159W,1605500000,1822700000,1568300000
YML100W,2059700000,2135200000,2136000000
YPL154C,1448900000,1441900000,1272300000
YMR261C,1586200000,1526300000,1542200000
YLR409C,2310900000,2145200000,2420800000
YOR251C,1795400000,1961000000,1900200000
YBR267W,1961700000,2142200000,1958000000
YOL059W,2641600000,2135700000,2722100000
YAL042W,1813700000,1942900000,1941400000
YOR260W,1884200000,1711900000,1820500000
YOL064C,1667800000,1612700000,1628500000
YKR092C,2534600000,3562900000,3313400000
YIL126W,1829300000,2054700000,1912400000
YER057C,958650000,1268400000,990820000
YMR295C,2244400000,1943700000,2834600000
YJL186W,1712500000,1555400000,1519800000
YDR211W,1853400000,1892400000,1816700000
YOR098C,1852300000,2217200000,1880400000
YLL034C,2117200000,2100100000,1992200000
YPL032C,1950100000,2154500000,1974300000
YIL138C,3172100000,2703800000,4790500000
YER168C,2390200000,2192500000,2340400000
YLR301W,2296700000,2180300000,2014500000
YDR508C,1789500000,1890000000,1593600000
YDL072C,1209100000,1013300000,1209900000
YMR093W,2622200000,2335800000,2552100000
YNL166C,1626200000,2109600000,1578300000
YML086C,2020800000,1845900000,2095400000
YDR496C,2264000000,2221100000,2186100000
YOL098C,2301500000,2400800000,2483900000
YDR348C,1736700000,2184500000,1754200000
YGL167C,1553000000,1553700000,1530200000
YDR427W,1731600000,1291800000,1637100000
YOR195W,1384000000,1605400000,1311600000
YCR016W,2449700000,2618900000,2285800000
YJL001W,1316700000,1416100000,1023500000
YGR167W,2035300000,1655700000,3170300000
YPL127C,2400800000,2669900000,2184800000
YGR090W,2148800000,1675400000,2253900000
YDL178W,2043400000,2277500000,2194900000
YHR051W,848050000,1243600000,883580000
YML035C,1853300000,1963500000,2032000000
YDL052C,2005500000,2350400000,2229000000
YML048W,1641700000,1378800000,1464600000
YMR015C,1922300000,1658400000,2075500000
YIL118W,1370400000,1447100000,1355000000
YOR057W,2045800000,2345000000,2296600000
YPL199C,1785200000,2034400000,1850400000
YNL141W,2177300000,2140600000,2213200000
YEL013W,1713300000,1357200000,1796300000
YEL002C,1717000000,1356200000,1488300000
YDR483W,1533300000,1429700000,1483000000
YPL190C,1591500000,1799300000,1564200000
YKL024C,1701600000,1862200000,1802200000
YDR405W,1104100000,1517100000,1264300000
YLR069C,1452900000,1509100000,1617000000
YPR104C,1603500000,1772000000,1633200000
YPL105C,1469200000,1644800000,1368400000
YPR187W,2766600000,2421100000,3344100000
YDR141C,2241300000,1755600000,2853700000
YHL004W,1670900000,1851200000,1502800000
YPR173C,1530600000,1795200000,1556800000
YNL160W,1781700000,2246600000,1476300000
YDR148C,1305300000,1520200000,1328600000
YJR125C,1673400000,1745000000,1759300000
YMR169C,1439100000,1434200000,1201700000
YML085C,2021800000,1666100000,2052800000
YJL074C,1264000000,1364900000,1245400000
YNL137C,1200700000,1244900000,1220000000
YLR248W,1283500000,1551600000,1513100000
YHR001W,1973700000,2136700000,1888700000
YNL252C,1286900000,1592500000,1269100000
YBR244W,2323700000,2740100000,2400600000
YKR066C,1578200000,1905200000,1651200000
YBR111C,1452400000,1644100000,1603000000
YDL125C,1392000000,1774100000,1486200000
YPR020W,835800000,993230000,770610000
YPL094C,764480000,807950000,827480000
YFR033C,3718900000,5034300000,3722000000
YCR009C,1790200000,1690900000,1803100000
YMR109W,1949000000,1736100000,1831400000
YOR091W,1797600000,2034000000,1763100000
YLR384C,2080200000,1804800000,2238700000
YDR251W,1236700000,1463800000,1193600000
YGL129C,1431300000,1440500000,1497700000
YHR065C,2348200000,2087100000,2365600000
YER155C,1795100000,1966200000,1936500000
YCL031C,1324500000,1542700000,1253200000
YBL064C,1011000000,1186400000,1028900000
YDR430C,1803100000,1675200000,1885000000
YAL036C,2220800000,1912400000,2299000000
YFR024C-A,1603800000,1830400000,1483600000
YKR014C,1369400000,1468800000,1192700000
YBL017C,1349900000,1341800000,1316500000
YNL117W,867230000,726340000,988950000
YJR069C,1871400000,1861800000,1837500000
YNL292W,1582000000,1642300000,1483500000
YFR032C-A,2383400000,2006000000,3061300000
YNL185C,1187600000,1409000000,1406700000
YDR074W,1730500000,1560600000,1624300000
YDL147W,1441500000,1151600000,1453700000
YAR002C-A,1701400000,1367900000,1824000000
YLR206W,1847200000,1871300000,1609300000
YLL050C,2785200000,5048400000,4581400000
YDL074C,1549400000,1578300000,1508500000
YLR295C,1959500000,1957500000,1939400000
YNR017W,763420000,1144000000,803770000
YDR494W,1249000000,1418900000,1208100000
YMR153W,1495200000,1672000000,1384100000
YOR261C,1782200000,1413100000,1772200000
YHR005C,1712600000,1563600000,1636800000
YKR018C,1657300000,1444600000,1606200000
YDR513W,1353100000,1773100000,1369300000
YLR406C,1303900000,3020400000,1636900000
YPL126W,2288200000,1751300000,2373700000
YLR380W,2007900000,1813000000,1794300000
YGR080W,1576900000,1831400000,1506200000
YOR217W,1308200000,1475800000,1316900000
YBR109C,1467400000,1849200000,1618500000
YGL122C,1449400000,1769300000,1416900000
YKR035W-A,1039700000,1226900000,1331300000
YPL218W,2384500000,1363000000,2449300000
YGR173W,1678100000,1395700000,1472700000
YDR356W,1347300000,1485600000,1240700000
YDR310C,1226700000,1426400000,1164800000
YER021W,2072500000,1697900000,2103300000
YNL044W,1407000000,1193900000,1418700000
YOR021C,1609400000,1758800000,1548400000
YLR100W,1931300000,1988600000,1905200000
YGL157W,863010000,800550000,751250000
YHR049W,1178500000,1504200000,1272700000
YKL033W-A,1254200000,1399300000,1116900000
YJL183W,1352600000,1160000000,1255900000
YOL058W,2052600000,2200700000,1909400000
YPL210C,1845400000,1855300000,1908400000
YBR117C,2362900000,2267200000,2429700000
YBR080C,2041900000,1717100000,1996300000
YBL036C,1209600000,1165000000,1117000000
YGL228W,1632200000,1511300000,1643000000
YMR124W,998610000,1248300000,1106200000
YNL177C,1218000000,1333400000,1321700000
YHR088W,1822600000,1895100000,2025700000
YDL202W,1139600000,1254400000,1157800000
YHR024C,1429900000,1530700000,1428900000
YBR015C,1253600000,1389200000,1256600000
YDL122W,1176800000,1200100000,1138600000
YJL176C,1378200000,1638000000,1356000000
YHR039C-A,461750000,894870000,775050000
YOL111C,857430000,1356600000,1023400000
YLR043C,1818700000,2411600000,1783400000
YOR122C,2485900000,3243400000,2317300000
YPR180W,1417100000,1351600000,1972500000
YDR239C,1748900000,2072200000,1756400000
YPL058C,1381400000,1285400000,1363000000
YOR016C,1017100000,724970000,816700000
YGL244W,1383100000,1414200000,1348700000
YML057W,1255600000,1324400000,1198200000
YDR487C,2157900000,2768100000,2307500000
YPL225W,1579700000,1490000000,1852800000
YDR044W,2438800000,2286300000,2334800000
YDR032C,1568500000,1223400000,1642600000
YBL085W,1118600000,1396700000,1131100000
YML017W,1336800000,1643100000,1366400000
YER114C,1280500000,1470200000,1189000000
YNL244C,777490000,1133300000,649790000
YNL004W,1283000000,1422100000,1112900000
YBR252W,3476200000,3925700000,3950400000
YDL201W,1748400000,1628700000,1837000000
YDL029W,1644500000,1445600000,1654500000
YDR300C,1312100000,1447700000,1274800000
YPL211W,1980900000,1729600000,1974000000
YDR019C,1433100000,1423000000,1312300000
YPR190C,1720000000,1613800000,1630700000
YBL068W,1356800000,1507900000,1518900000
YLR074C,1730000000,1768600000,1945000000
YDR089W,1451100000,1319700000,1395100000
YER164W,1567400000,1667200000,1493900000
YDR116C,1138400000,1333400000,1120400000
YGR083C,1651500000,1599200000,1626300000
YLR319C,1086300000,1315600000,1049800000
YJL208C,1360500000,1301200000,1282900000
YBR088C,1396100000,885480000,1211300000
YDR324C,2058200000,1601800000,2242800000
YDR153C,1683500000,1646700000,1568900000
YNL284C,968480000,1312500000,1174500000
YOR158W,1384600000,1523900000,1369900000
YDR165W,1643700000,1318400000,1408500000
YLR163C,1399600000,1417100000,1342500000
YLR002C,1781200000,1692400000,1746300000
YBR205W,1491700000,1536200000,1512300000
YLR025W,1156800000,1275100000,1925000000
YOR101W,1724800000,1807800000,1766600000
YGL190C,1532400000,1657000000,1419900000
YOR327C,1761800000,1873700000,1563900000
YJR143C,1166300000,902140000,938500000
YNL134C,963270000,850170000,929750000
YMR038C,1657500000,1854900000,1788400000
YBR162C,888260000,1035200000,861200000
YBR073W,1417200000,1598300000,1372700000
YOR171C,1396000000,1356500000,1402800000
YJR109C,1138200000,957020000,1153800000
YMR047C,1392700000,1786700000,1341600000
YLR186W,1800100000,1363300000,1776000000
YNL052W,852280000,1260800000,1192800000
YDR304C,1918200000,3029300000,2921100000
YIL149C,1000900000,984140000,892130000
YHR190W,1234100000,998960000,1294300000
YMR305C,1395700000,1524300000,1290800000
YLL041C,1078700000,1085100000,1058800000
YGL012W,2150100000,1888200000,2223700000
YPR019W,1271700000,1197900000,1311200000
YGL037C,958490000,844740000,954370000
YPL086C,1967400000,1585200000,1895300000
YKL065C,812270000,836960000,707170000
YLR399C,1401800000,1590700000,1323300000
YBR222C,1056000000,986370000,1106800000
YHL031C,1461700000,1499700000,1359200000
YOL022C,1525100000,1814500000,1509200000
YGR280C,2301800000,2871500000,2258700000
YBL050W,1269400000,1295000000,1274200000
YLR089C,1592300000,1715800000,1634900000
YNR021W,1203900000,920700000,1301000000
YMR193W,1062600000,1226300000,1161700000
YKL068W,1196600000,1295500000,1097100000
YLR003C,1513700000,1534900000,1359900000
YGR097W,616680000,761350000,627060000
YIR008C,1220800000,1380700000,1251700000
YIL093C,1140900000,1240700000,1268000000
YDL173W,1288600000,1632200000,1471300000
YDR028C,1185100000,1397800000,1237700000
YHR098C,1637400000,1199600000,1750400000
YOR209C,2331400000,1647100000,2255400000
YOL126C,1442400000,1305800000,1361500000
YEL015W,1501500000,1821400000,1507900000
YAR007C,1625400000,1321700000,1705300000
YLR420W,2125900000,2064200000,2194300000
YGR271C-A,953360000,1236500000,1506200000
YHR047C,1701300000,1391500000,1932300000
YKR071C,1340800000,1628700000,1335300000
YOR108W,1480100000,1381400000,1465300000
YML022W,1546600000,1137400000,1475000000
YGR123C,1851600000,1639600000,1981400000
YHR117W,1291100000,1122900000,1195400000
YNL113W,2896000000,2712300000,3621000000
YBR151W,1211300000,1365900000,1207500000
YER004W,1051800000,1356900000,1118300000
YGR218W,1181100000,884310000,1338500000
YDL204W,605430000,745450000,645600000
YLR172C,1263000000,1031300000,1196300000
YPL137C,1050100000,1190000000,1028900000
YKL143W,1585800000,1898300000,1478300000
YOR176W,1459100000,1562300000,1370600000
YOL151W,892680000,773300000,884030000
YAL053W,775380000,820230000,675310000
YKL073W,1092900000,1086900000,1125200000
YJL128C,1240200000,1333900000,1278100000
YGL150C,1433500000,1566600000,1356900000
YIR037W,1066100000,1247600000,1317700000
YDR083W,1547500000,1535700000,1534600000
YBR130C,1071700000,1353000000,1158700000
YBR146W,986470000,1175600000,1000800000
YLR270W,1612000000,1339100000,1556600000
YOL021C,1749100000,1489500000,1828800000
YDR258C,942310000,958690000,921200000
YER127W,1449400000,1567200000,1498200000
YOL004W,1145200000,1224600000,1168000000
YMR158W,774380000,1200100000,960890000
YDR328C,1777100000,1834400000,1772400000
YMR220W,1733900000,1464700000,1692200000
YMR027W,1526900000,1375000000,1478900000
YIL063C,1205500000,1492300000,1227300000
YOR048C,1787700000,1578100000,1792300000
YDR189W,1121100000,1098800000,1291600000
YKL126W,1242500000,1140300000,1306300000
YGL191W,315880000,444110000,457600000
YDR292C,1401200000,1500000000,1386000000
YPL266W,1583400000,1440100000,1588000000
YLR222C,1612200000,1248900000,1594500000
YMR029C,965900000,1124000000,1077300000
YKR025W,1494500000,1692900000,1608700000
YIL137C,1213600000,1022900000,1371300000
YFL008W,908530000,953690000,899940000
YKR072C,1169700000,1315700000,1093400000
YNL250W,1152300000,1141900000,1184600000
YNL123W,1774000000,1375400000,1868400000
YKR081C,1574000000,1688400000,1630900000
YGL200C,1036000000,986190000,1053500000
YOL060C,1171600000,1229600000,1081600000
YDR135C,1008900000,866440000,1039300000
YOR004W,1445500000,1726200000,1378500000
YHR169W,1134500000,1300300000,1225100000
YBR198C,1269500000,1412600000,1452800000
YOR109W,1253400000,1292800000,1311600000
YLR357W,1018100000,1210700000,1008500000
YGR157W,776570000,707280000,696710000
YGL111W,1389600000,1162800000,1272100000
YDR289C,939140000,1181900000,988570000
YNR006W,838070000,979670000,796650000
YBL061C,844760000,945070000,872660000
YNR018W,1086700000,1197400000,1166400000
YNL168C,1273700000,1109400000,1265200000
YMR005W,1126700000,1353600000,1144000000
YDL213C,2508200000,2846400000,2408700000
YLR387C,1249900000,1379400000,1185000000
YJL122W,1066400000,1237600000,998160000
YML004C,1374400000,1236500000,1547100000
YDL097C,1294900000,1036800000,1347700000
YJR059W,1048300000,1111300000,966110000
YOR157C,1222000000,1191200000,1386300000
YDL132W,1054600000,1086500000,1126400000
YGL106W,696910000,1034800000,751830000
YGR001C,977030000,909730000,929970000
YOR356W,1488800000,1759000000,1458300000
YLR219W,850540000,1069000000,824210000
YJR148W,2179700000,2047200000,2084000000
YGR005C,1149700000,1270000000,1043600000
YPL228W,1246200000,1282400000,1151600000
YOL052C,1108300000,1082000000,1188100000
YKL192C,820830000,1024100000,555170000
YGR078C,782500000,1036000000,841530000
YAL019W,1206000000,1298000000,1229800000
YGL001C,1633700000,1554100000,1694800000
YNL075W,1702600000,1780700000,1855800000
YER009W,888500000,1123700000,1028700000
YLL013C,960290000,951060000,853270000
YER067W,914780000,805460000,730440000
YFR002W,1414800000,1249400000,1439500000
YJR035W,834930000,907730000,722420000
YLR389C,1232200000,1011300000,1235600000
YDR326C,1079200000,1332600000,1179900000
YKR062W,1003600000,1302900000,1042300000
YPR127W,1139500000,992640000,1149100000
YOR001W,1279300000,1275300000,1228200000
YJL172W,853230000,781270000,844870000
YOR354C,1243000000,1198600000,1252800000
YNL084C,878300000,961200000,843120000
YLR398C,1217700000,1208100000,1236900000
YGL068W,487840000,720970000,635220000
YOR061W,896520000,642720000,891610000
YCR002C,1055300000,734810000,1114100000
YHR039C,924220000,687970000,901310000
YFR050C,1244200000,1098700000,1285700000
YPL084W,899880000,1008100000,884700000
YIR026C,1082200000,1071700000,1063300000
YOR267C,790430000,976080000,811700000
YNL313C,1338000000,1147700000,1442300000
YHR023W,946140000,968940000,863250000
YPL009C,1121800000,1078600000,1196300000
YNL182C,1267800000,1156500000,1320500000
YIL021W,1051600000,1227800000,1043500000
YHR070W,1206900000,1226500000,1164700000
YBR251W,862690000,1084700000,820310000
YLR300W,1915500000,1657000000,2239100000
YBL033C,1123900000,1280700000,1135300000
YJL140W,1003400000,983540000,1267600000
YER107C,1552500000,1581800000,1303300000
YNL207W,1505300000,1345800000,1506200000
YNL085W,1279200000,1034100000,1359400000
YDL004W,1260600000,1449800000,1124100000
YHR196W,1280400000,938000000,1232200000
YDL205C,1081800000,1078900000,1026100000
YPL141C,917750000,1102800000,971350000
YER017C,886750000,1017900000,802340000
YER012W,858750000,832250000,883580000
YLR418C,1447100000,1357700000,1581400000
YLR018C,984050000,1121600000,1017500000
YPR125W,1382700000,1307400000,1481400000
YOR207C,1345000000,1150300000,1387600000
YIR003W,1078000000,1290600000,1110100000
YKR003W,868250000,1061500000,841450000
YNL251C,1334300000,1345700000,1290500000
YBR059C,935610000,1178200000,959370000
YLR250W,730760000,852330000,976030000
YKR085C,860620000,913690000,1042900000
YOR131C,1009400000,1176200000,1281500000
YLR337C,905980000,1036800000,783300000
YMR302C,764750000,755600000,749250000
YMR272C,861410000,873620000,846180000
YOR069W,871110000,919240000,806360000
YLR209C,1017500000,955050000,1032200000
YNL232W,1093700000,1233700000,1006600000
YIL091C,1261300000,1326800000,1195700000
YHL013C,1110900000,1330200000,1150800000
YOL144W,980900000,1174500000,956210000
YCR051W,1163900000,1352900000,1599900000
YLR419W,1160800000,1105600000,1123600000
YDL065C,995570000,1322400000,1095300000
YDR055W,833290000,1050100000,828980000
YAL016W,941300000,748200000,851710000
YER001W,738120000,763950000,718360000
YER103W,1584400000,1273500000,1245100000
YBR279W,1315400000,1393500000,1142800000
YIL135C,878600000,941810000,867910000
YOR281C,1298700000,1055500000,1157900000
YGR187C,1255000000,1066900000,1275100000
YDR481C,1157900000,805640000,1216000000
YNR013C,572890000,605670000,484240000
YJL125C,1177800000,1155700000,1163000000
YJR060W,1235500000,1342400000,1270700000
YLR369W,941550000,927770000,878200000
YKR024C,1240100000,1209500000,1243700000
YAL044C,1622400000,1582000000,1581100000
YBL079W,1164000000,1174500000,1190800000
YHR114W,937300000,1012700000,933320000
YHR063C,1301400000,1218000000,1311700000
YDL161W,1099400000,1202900000,962880000
YDR182W,1127200000,1125800000,1280200000
YMR188C,636570000,798840000,695610000
YMR208W,1196200000,1140300000,1250800000
YNL197C,889240000,951730000,956550000
YNL290W,1124900000,878870000,1106100000
YLL052C,1004800000,820710000,860690000
YFR001W,2234100000,1874500000,2375900000
YOR294W,1550300000,1391800000,1899300000
YCR087C-A,2361400000,2006500000,2859700000
YER083C,857610000,919200000,952550000
YHR009C,917560000,1012200000,873510000
YNL281W,1390900000,2015600000,1755300000
YHR069C,1158200000,1064700000,1161300000
YOR253W,857150000,971770000,1107800000
YLR351C,1254100000,1384200000,1384400000
YPL207W,1121800000,1027200000,1172800000
YPR133W-A,337720000,607040000,305920000
YPL101W,1046300000,1389800000,1046100000
YDL064W,708640000,918840000,989880000
YPL204W,1158700000,1113500000,1126400000
YJL063C,603120000,759650000,632270000
YCR072C,1247100000,1291100000,1411200000
YLR179C,1163700000,948560000,1036100000
YMR173W,1314400000,1266200000,1219500000
YNL309W,903160000,1199600000,916140000
YMR080C,1350100000,1153300000,1173400000
YMR092C,1074400000,1025800000,1023900000
YNL110C,2134200000,2289500000,2047400000
YBR154C,960100000,1177100000,942250000
YAL032C,901910000,1224100000,1059400000
YPR189W,1454400000,995520000,1406400000
YPL112C,1152100000,934930000,1301400000
YNL307C,1144400000,881420000,1345400000
YML007W,841440000,1045200000,811700000
YIL034C,1216300000,1048400000,1152800000
YMR009W,782510000,861980000,670220000
YJR117W,795750000,539660000,812310000
YOR224C,1152100000,1265700000,903220000
YHR097C,951290000,1056100000,987830000
YDR347W,915480000,806740000,824540000
YLR262C-A,493920000,536180000,1196300000
YOL070C,932790000,1001100000,854330000
YJL136C,1474400000,968190000,1112600000
YNR035C,1320000000,1205100000,1583400000
YJL010C,1086100000,949860000,1021300000
YNR054C,999320000,1132800000,1086900000
YFR011C,568580000,792750000,668060000
YHR121W,1001700000,1085600000,865080000
YLR129W,1210100000,983620000,1236700000
YJL069C,1450600000,1379400000,1497300000
YEL050C,719780000,885520000,723000000
YLR096W,1007300000,1086900000,1022400000
YDR337W,599210000,1085800000,757320000
YLR292C,720820000,714250000,797690000
YMR296C,1062800000,863030000,1166600000
YKL122C,2606000000,3002800000,2633800000
YMR311C,1165200000,1053900000,1564700000
YOL006C,595010000,615230000,547650000
YEL032W,1109700000,1132900000,1184400000
YGR208W,1193700000,986290000,1034800000
YJR113C,581360000,788440000,642690000
YPR097W,842680000,1030600000,932010000
YKL190W,653940000,726540000,711850000
YLR078C,803450000,916100000,868670000
YDR457W,1288300000,1064800000,1506600000
YOR197W,1043800000,1215600000,1023700000
