Majority protein IDs,hYPS1009 wt rep1,hYPS1009 wt rep2,hYPS1009 wt rep3
YGR094W,26200000000,25868000000,26718000000
YML063W,25419000000,29570000000,28549000000
YGR254W,18574000000,22109000000,22045000000
YMR205C,29716000000,28197000000,30319000000
YDL126C,23611000000,24338000000,24101000000
YAL035W,26818000000,27546000000,26028000000
YLR293C,24906000000,27843000000,24803000000
YDR037W,22971000000,22980000000,22641000000
YOR375C,22381000000,19352000000,21753000000
YGR240C,29175000000,24114000000,28287000000
YNL055C,18270000000,16685000000,18686000000
YJL159W,20093000000,24975000000,20366000000
YGL148W,20952000000,21385000000,19865000000
YDR099W,16735000000,13553000000,17742000000
YBL075C,23052000000,19590000000,18174000000
YNL096C,19072000000,25222000000,22277000000
YMR217W,27565000000,23793000000,26934000000
YGR034W;YLR344W,17375000000,19501000000,17076000000
YBR078W,17936000000,21035000000,19896000000
YBR249C,21121000000,22007000000,21669000000
YDR023W,22822000000,21626000000,23332000000
YLL045C,19036000000,24599000000,19442000000
YJR105W,24234000000,26963000000,23804000000
YPR043W;YJR094W-A,51402000000,58552000000,51181000000
YDL081C,25397000000,22418000000,24027000000
YHR020W,22876000000,20643000000,23734000000
YMR194W,20968000000,24742000000,21045000000
YLR354C,22353000000,19662000000,22081000000
YLR153C,28069000000,26011000000,29276000000
YOR369C,26935000000,28488000000,24634000000
YDL191W;YDL136W,13472000000,20205000000,15199000000
YER117W;YBL087C,25418000000,26596000000,30898000000
YGR162W,19350000000,21145000000,19309000000
YJR139C,23252000000,19022000000,21957000000
YPL143W,59005000000,61125000000,66721000000
YFL018C,14986000000,16302000000,14691000000
YBR263W,18848000000,20300000000,19799000000
YKR057W,37840000000,44121000000,31683000000
YMR229C,20944000000,18380000000,20538000000
YPR163C,22838000000,26555000000,23221000000
YCR053W,19051000000,16573000000,17745000000
YBL039C,19962000000,16346000000,20615000000
YKL054C,16436000000,19507000000,15960000000
YPR191W,13358000000,16179000000,14035000000
YHR183W,22267000000,18033000000,23401000000
YJR104C,37066000000,41319000000,40561000000
YML073C,25678000000,32426000000,32453000000
YNL121C,14186000000,16837000000,14278000000
YDR158W,15086000000,15168000000,14609000000
YLL018C,20529000000,16889000000,20960000000
YPR028W,13691000000,15857000000,13613000000
YGR086C,14775000000,14613000000,13543000000
YDR172W,16325000000,17450000000,15994000000
YHL034C,13592000000,18496000000,16220000000
YJL167W,17564000000,18460000000,17159000000
YDR091C,21687000000,20397000000,22219000000
YMR307W,16769000000,16806000000,17179000000
YMR108W,16978000000,18674000000,17668000000
YOR310C,20182000000,15656000000,18831000000
YAL005C,13676000000,15480000000,12446000000
YMR145C,12968000000,12752000000,14614000000
YNL112W,16999000000,17396000000,15905000000
YKL156W;YHR021C,44549000000,38458000000,47831000000
YLR175W,19645000000,17831000000,17958000000
YBR106W,12055000000,11885000000,12361000000
YLR060W,15894000000,14739000000,15263000000
YGR185C,17283000000,17756000000,17641000000
YER110C,16418000000,14136000000,17037000000
YKL085W,10733000000,12473000000,10881000000
YNL071W,13554000000,14005000000,12196000000
YDR233C,15118000000,14196000000,14720000000
YDR353W,13815000000,15745000000,13522000000
YCR088W,12331000000,14880000000,12723000000
YML056C,18848000000,17506000000,19354000000
YBR084W,15959000000,17120000000,15990000000
YOR187W,11055000000,11325000000,11370000000
YOR168W,16821000000,16545000000,16329000000
YOR341W,17261000000,16510000000,17043000000
YJL130C,16947000000,12988000000,15910000000
YKL096W,3610300000,4898600000,3045700000
