Protein.genes.secondaryIdentifier	Protein.proteinHalfLife.units	Protein.proteinHalfLife.value	Protein.proteinHalfLife.publication.firstAuthor	Protein.proteinHalfLife.publication.year
YBL093C	hr	3.7	Christiano R	2014
YBL098W	hr	13.1	Christiano R	2014
YBL099W	hr	8.6	Christiano R	2014
YBL101C	hr	7.6	Christiano R	2014
YBL103C	hr	7.7	Christiano R	2014
YBL104C	hr	14.5	Christiano R	2014
YBL105C	hr	10.0	Christiano R	2014
YBL107C	hr	13.1	Christiano R	2014
YBR002C	hr	9.9	Christiano R	2014
YBR003W	hr	7.7	Christiano R	2014
YBR006W	hr	7.3	Christiano R	2014
YBR007C	hr	4.7	Christiano R	2014
YBR011C	hr	10.8	Christiano R	2014
YBR014C	hr	2.6	Christiano R	2014
YBR015C	hr	6.9	Christiano R	2014
YBR016W	hr	9.5	Christiano R	2014
YBR017C	hr	12.8	Christiano R	2014
YBR022W	hr	10.8	Christiano R	2014
YBR023C	hr	3.7	Christiano R	2014
YBR024W	hr	6.6	Christiano R	2014
YBR025C	hr	14.6	Christiano R	2014
YBR026C	hr	8.1	Christiano R	2014
YBR028C	hr	5.1	Christiano R	2014
YBR029C	hr	7.3	Christiano R	2014
YBR030W	hr	8.7	Christiano R	2014
YBR031W	hr	9.8	Christiano R	2014
YBR034C	hr	11.9	Christiano R	2014
YBR035C	hr	13.7	Christiano R	2014
YBR037C	hr	35.8	Christiano R	2014
YBR038W	min	44.4	Christiano R	2014
YBR039W	hr	8.1	Christiano R	2014
YBR041W	hr	9.9	Christiano R	2014
YBR042C	hr	12.0	Christiano R	2014
YBR044C	hr	8.1	Christiano R	2014
YBR046C	hr	7.6	Christiano R	2014
YBR049C	hr	7.5	Christiano R	2014
YBR052C	hr	9.2	Christiano R	2014
YBR053C	hr	16.9	Christiano R	2014
YBR055C	hr	8.8	Christiano R	2014
YBR056W	hr	11.6	Christiano R	2014
YBR057C	hr	2.5	Christiano R	2014
YBR058C	hr	8.8	Christiano R	2014
YBR058C-A	hr	7.0	Christiano R	2014
YBR059C	hr	9.9	Christiano R	2014
YBR060C	hr	8.0	Christiano R	2014
YBR061C	hr	15.7	Christiano R	2014
YBR062C	hr	1.9	Christiano R	2014
YBR065C	hr	14.1	Christiano R	2014
YBR068C	min	51.4	Christiano R	2014
YBR069C	hr	4.7	Christiano R	2014
YBR072W	hr	10000.0	Christiano R	2014
YBR073W	hr	3.0	Christiano R	2014
YBR077C	hr	8.1	Christiano R	2014
YBR078W	hr	2.1	Christiano R	2014
YBR079C	hr	10.9	Christiano R	2014
YBR080C	hr	12.1	Christiano R	2014
YBR081C	hr	10.2	Christiano R	2014
YBR082C	hr	12.7	Christiano R	2014
YBR084W	hr	8.8	Christiano R	2014
YBR085C-A	hr	2.5	Christiano R	2014
YBR086C	hr	13.8	Christiano R	2014
YBR087W	hr	10.0	Christiano R	2014
YBR088C	hr	11.4	Christiano R	2014
YBR089C-A	hr	7.7	Christiano R	2014
YBR091C	hr	4.3	Christiano R	2014
YBR094W	hr	10.2	Christiano R	2014
YBR095C	hr	8.7	Christiano R	2014
YBR096W	hr	12.2	Christiano R	2014
YBR097W	hr	6.0	Christiano R	2014
YBR101C	hr	9.6	Christiano R	2014
YBR102C	hr	7.8	Christiano R	2014
YBR103W	hr	5.7	Christiano R	2014
YBR106W	hr	6.5	Christiano R	2014
YBR108W	hr	12.2	Christiano R	2014
YBR109C	hr	10.8	Christiano R	2014
YBR110W	hr	9.9	Christiano R	2014
YBR111C	hr	8.2	Christiano R	2014
YBR112C	hr	10.5	Christiano R	2014
YBR117C	hr	10000.0	Christiano R	2014
YBR119W	hr	10.9	Christiano R	2014
YBR120C	hr	6.6	Christiano R	2014
YBR121C	hr	10.3	Christiano R	2014
YBR123C	hr	8.3	Christiano R	2014
YBR125C	hr	9.7	Christiano R	2014
YBR126C	hr	9.0	Christiano R	2014
YBR126W-A	hr	2.4	Christiano R	2014
YBR127C	hr	9.6	Christiano R	2014
YBR130C	hr	9.2	Christiano R	2014
YBR133C	hr	4.9	Christiano R	2014
YBR136W	hr	7.5	Christiano R	2014
YBR137W	hr	9.7	Christiano R	2014
YBR139W	hr	8.2	Christiano R	2014
YBR140C	hr	6.5	Christiano R	2014
YBR141C	hr	6.2	Christiano R	2014
YBR142W	hr	5.9	Christiano R	2014
YBR143C	hr	9.1	Christiano R	2014
YBR145W	hr	20.0	Christiano R	2014
YBR146W	hr	4.7	Christiano R	2014
YBR149W	hr	9.0	Christiano R	2014
YBR151W	hr	9.7	Christiano R	2014
YBR152W	hr	7.1	Christiano R	2014
YBR154C	hr	10.0	Christiano R	2014
YBR155W	hr	9.4	Christiano R	2014
YBR158W	min	23.1	Christiano R	2014
YBR160W	hr	10.4	Christiano R	2014
YBR162C	hr	3.9	Christiano R	2014
YBR162W-A	hr	10.0	Christiano R	2014
YBR164C	hr	10.8	Christiano R	2014
YBR166C	hr	10.0	Christiano R	2014
YBR169C	hr	12.8	Christiano R	2014
YBR170C	hr	9.1	Christiano R	2014
YBR171W	hr	10.5	Christiano R	2014
YBR172C	hr	6.8	Christiano R	2014
YBR173C	min	24.6	Christiano R	2014
YBR176W	hr	9.8	Christiano R	2014
YBR177C	hr	7.7	Christiano R	2014
YBR179C	hr	3.0	Christiano R	2014
YBR185C	hr	6.4	Christiano R	2014
YBR187W	hr	3.1	Christiano R	2014
YBR188C	hr	4.5	Christiano R	2014
YBR189W	hr	10.8	Christiano R	2014
YBR191W	hr	14.5	Christiano R	2014
YBR192W	hr	8.1	Christiano R	2014
YBR193C	hr	8.2	Christiano R	2014
YBR194W	hr	6.7	Christiano R	2014
YBR195C	hr	17.1	Christiano R	2014
YBR196C	hr	13.2	Christiano R	2014
YBR197C	hr	4.9	Christiano R	2014
YBR198C	hr	10.4	Christiano R	2014
YBR199W	hr	2.2	Christiano R	2014
YBR200W	hr	7.8	Christiano R	2014
YBR201W	hr	9.4	Christiano R	2014
YBR202W	hr	1.7	Christiano R	2014
YBR204C	hr	14.4	Christiano R	2014
YBR205W	hr	7.1	Christiano R	2014
YBR207W	hr	10000.0	Christiano R	2014
YBR208C	hr	10.5	Christiano R	2014
YBR211C	hr	10.0	Christiano R	2014
YBR213W	hr	15.6	Christiano R	2014
YBR214W	hr	8.0	Christiano R	2014
YBR215W	hr	7.6	Christiano R	2014
YBR216C	hr	10.1	Christiano R	2014
YBR218C	hr	13.4	Christiano R	2014
YBR220C	hr	5.2	Christiano R	2014
YBR221C	hr	9.4	Christiano R	2014
YBR222C	hr	12.5	Christiano R	2014
YBR223C	hr	6.9	Christiano R	2014
YBR225W	hr	36.0	Christiano R	2014
YBR227C	hr	7.7	Christiano R	2014
YBR229C	hr	4.4	Christiano R	2014
YBR230C	hr	7.0	Christiano R	2014
YBR231C	hr	4.4	Christiano R	2014
YBR233W	hr	5.6	Christiano R	2014
YBR234C	hr	11.6	Christiano R	2014
YBR235W	hr	9.9	Christiano R	2014
YBR236C	hr	8.7	Christiano R	2014
YBR238C	hr	1.7	Christiano R	2014
YBR239C	hr	13.7	Christiano R	2014
YBR242W	hr	3.2	Christiano R	2014
YBR244W	hr	4.7	Christiano R	2014
YBR245C	hr	9.0	Christiano R	2014
YBR246W	hr	8.3	Christiano R	2014
YBR247C	hr	8.6	Christiano R	2014
YBR248C	hr	15.1	Christiano R	2014
YBR249C	hr	13.9	Christiano R	2014
YBR251W	hr	7.8	Christiano R	2014
YBR252W	hr	11.1	Christiano R	2014
YBR254C	hr	14.5	Christiano R	2014
YBR255W	hr	12.1	Christiano R	2014
YBR256C	hr	20.0	Christiano R	2014
YBR257W	hr	21.1	Christiano R	2014
YBR258C	hr	6.4	Christiano R	2014
YBR260C	min	14.6	Christiano R	2014
YBR261C	hr	10.5	Christiano R	2014
YBR262C	hr	5.4	Christiano R	2014
YBR263W	hr	9.1	Christiano R	2014
YBR264C	hr	8.5	Christiano R	2014
YBR265W	hr	4.4	Christiano R	2014
YBR267W	hr	4.8	Christiano R	2014
YBR268W	hr	5.4	Christiano R	2014
YBR269C	hr	2.8	Christiano R	2014
YBR272C	hr	18.3	Christiano R	2014
YBR273C	hr	7.7	Christiano R	2014
YBR274W	hr	6.0	Christiano R	2014
YBR275C	hr	6.5	Christiano R	2014
YBR278W	hr	11.2	Christiano R	2014
YBR279W	hr	8.6	Christiano R	2014
YBR280C	hr	5.1	Christiano R	2014
YBR281C	hr	11.0	Christiano R	2014
YBR282W	hr	15.4	Christiano R	2014
YBR283C	hr	10000.0	Christiano R	2014
YBR286W	hr	8.1	Christiano R	2014
YBR288C	hr	11.7	Christiano R	2014
YBR291C	hr	6.8	Christiano R	2014
YCL001W	hr	7.5	Christiano R	2014
YCL004W	hr	16.0	Christiano R	2014
YCL009C	hr	11.1	Christiano R	2014
YCL010C	hr	6.5	Christiano R	2014
YCL011C	hr	8.9	Christiano R	2014
YCL012C	hr	3.6	Christiano R	2014
YCL014W	hr	7.5	Christiano R	2014
YCL016C	hr	11.8	Christiano R	2014
YCL017C	hr	6.4	Christiano R	2014
YCL024W	hr	7.4	Christiano R	2014
YCL026C-B	hr	10000.0	Christiano R	2014
YCL028W	hr	16.8	Christiano R	2014
YCL029C	hr	11.6	Christiano R	2014
YCL030C	hr	127.5	Christiano R	2014
YCL031C	hr	8.6	Christiano R	2014
YCL032W	hr	6.2	Christiano R	2014
YCL033C	hr	4.2	Christiano R	2014
YCL034W	hr	7.9	Christiano R	2014
YCL035C	hr	9.5	Christiano R	2014
YCL036W	hr	2.1	Christiano R	2014
YCL037C	hr	10.5	Christiano R	2014
YCL039W	hr	9.7	Christiano R	2014
YCL040W	hr	15.1	Christiano R	2014
YCL043C	hr	12.4	Christiano R	2014
YCL044C	hr	7.3	Christiano R	2014
YCL045C	hr	8.0	Christiano R	2014
YCL047C	hr	160.5	Christiano R	2014
YCL050C	hr	15.1	Christiano R	2014
YCL054W	hr	8.6	Christiano R	2014
YCL055W	min	39.7	Christiano R	2014
YCL057C-A	hr	6.3	Christiano R	2014
YCL057W	hr	9.1	Christiano R	2014
YCL058W-A	hr	1.2	Christiano R	2014
YCL059C	hr	7.0	Christiano R	2014
YCL064C	hr	1.5	Christiano R	2014
YCR002C	hr	21.7	Christiano R	2014
YCR004C	hr	7.3	Christiano R	2014
YCR005C	hr	1.4	Christiano R	2014
YCR008W	hr	4.9	Christiano R	2014
YCR009C	hr	9.6	Christiano R	2014
YCR011C	hr	17.1	Christiano R	2014
YCR012W	hr	16.4	Christiano R	2014
YCR015C	hr	6.7	Christiano R	2014
YCR016W	hr	7.9	Christiano R	2014
YCR019W	hr	7.6	Christiano R	2014
YCR020C-A	hr	2.3	Christiano R	2014
YCR020W-B	hr	9.3	Christiano R	2014
YCR024C	hr	9.5	Christiano R	2014
YCR026C	hr	4.2	Christiano R	2014
YCR027C	hr	9.9	Christiano R	2014
YCR028C-A	hr	9.1	Christiano R	2014
YCR030C	hr	10.9	Christiano R	2014
YCR034W	hr	34.0	Christiano R	2014
YCR035C	hr	9.8	Christiano R	2014
YCR036W	hr	8.0	Christiano R	2014
YCR042C	hr	5.0	Christiano R	2014
YCR043C	hr	9.4	Christiano R	2014
YCR046C	hr	6.6	Christiano R	2014
YCR047C	hr	6.7	Christiano R	2014
YCR051W	hr	9.8	Christiano R	2014
YCR052W	hr	9.4	Christiano R	2014
YCR053W	hr	10.3	Christiano R	2014
YCR054C	hr	4.8	Christiano R	2014
YCR057C	hr	9.8	Christiano R	2014
YCR066W	hr	6.4	Christiano R	2014
YCR069W	min	59.8	Christiano R	2014
YCR071C	hr	5.4	Christiano R	2014
YCR072C	hr	8.2	Christiano R	2014
YCR073W-A	hr	8.4	Christiano R	2014
YCR075C	hr	6.8	Christiano R	2014
YCR076C	hr	9.1	Christiano R	2014
YCR077C	hr	9.3	Christiano R	2014
YCR079W	hr	19.7	Christiano R	2014
YCR082W	min	56.1	Christiano R	2014
YCR083W	hr	6.9	Christiano R	2014
YCR084C	hr	8.6	Christiano R	2014
YCR086W	hr	6.8	Christiano R	2014
YCR087C-A	hr	7.0	Christiano R	2014
YCR088W	hr	9.3	Christiano R	2014
YCR090C	hr	11.5	Christiano R	2014
YCR093W	hr	10.0	Christiano R	2014
YCR094W	hr	6.1	Christiano R	2014
YCR095C	hr	29.1	Christiano R	2014
YDL001W	hr	14.9	Christiano R	2014
YDL003W	min	47.4	Christiano R	2014
YDL005C	hr	5.6	Christiano R	2014
YDL006W	hr	10.4	Christiano R	2014
YDL007W	hr	9.4	Christiano R	2014
YDL008W	hr	1.5	Christiano R	2014
YDL010W	hr	2.4	Christiano R	2014
YDL014W	hr	9.7	Christiano R	2014
YDL015C	hr	11.0	Christiano R	2014
YDL017W	hr	5.5	Christiano R	2014
YDL018C	hr	9.9	Christiano R	2014
YDL019C	hr	7.1	Christiano R	2014
YDL021W	hr	10000.0	Christiano R	2014
YDL022W	hr	24.5	Christiano R	2014
YDL025C	hr	5.8	Christiano R	2014
YDL027C	hr	8.7	Christiano R	2014
YDL029W	hr	11.3	Christiano R	2014
YDL030W	hr	11.6	Christiano R	2014
YDL031W	hr	7.6	Christiano R	2014
YDL040C	hr	11.7	Christiano R	2014
YDL042C	hr	6.4	Christiano R	2014
YDL043C	hr	5.2	Christiano R	2014
YDL044C	hr	6.2	Christiano R	2014
YDL045C	hr	9.0	Christiano R	2014
YDL045W-A	hr	3.7	Christiano R	2014
YDL046W	hr	7.1	Christiano R	2014
YDL047W	hr	10.1	Christiano R	2014
YDL051W	hr	11.0	Christiano R	2014
YDL052C	hr	8.3	Christiano R	2014
YDL053C	hr	4.9	Christiano R	2014
YDL055C	hr	10.1	Christiano R	2014
YDL056W	hr	7.8	Christiano R	2014
YDL058W	hr	10.2	Christiano R	2014
YDL060W	hr	8.4	Christiano R	2014
YDL061C	hr	12.7	Christiano R	2014
YDL063C	hr	7.2	Christiano R	2014
YDL064W	hr	9.6	Christiano R	2014
YDL065C	hr	8.0	Christiano R	2014
YDL066W	hr	9.2	Christiano R	2014
YDL067C	hr	2.6	Christiano R	2014
YDL070W	min	42.8	Christiano R	2014
YDL072C	hr	7.7	Christiano R	2014
YDL073W	hr	3.1	Christiano R	2014
YDL074C	hr	8.1	Christiano R	2014
YDL075W	hr	10000.0	Christiano R	2014
YDL076C	hr	7.3	Christiano R	2014
YDL077C	hr	16.7	Christiano R	2014
YDL078C	hr	8.8	Christiano R	2014
YDL081C	hr	10.6	Christiano R	2014
YDL082W	hr	98.7	Christiano R	2014
YDL084W	hr	10.3	Christiano R	2014
YDL085C-A	hr	17.8	Christiano R	2014
YDL086W	hr	9.0	Christiano R	2014
YDL087C	hr	7.5	Christiano R	2014
YDL088C	hr	10.3	Christiano R	2014
YDL089W	hr	7.7	Christiano R	2014
YDL090C	hr	7.0	Christiano R	2014
YDL091C	hr	5.6	Christiano R	2014
YDL092W	hr	9.6	Christiano R	2014
YDL095W	hr	10.7	Christiano R	2014
YDL097C	hr	11.9	Christiano R	2014
YDL098C	hr	7.1	Christiano R	2014
YDL099W	hr	10.5	Christiano R	2014
YDL100C	hr	13.1	Christiano R	2014
YDL101C	hr	6.7	Christiano R	2014
YDL102W	hr	5.2	Christiano R	2014
YDL103C	hr	11.4	Christiano R	2014
YDL104C	hr	6.9	Christiano R	2014
YDL105W	hr	6.5	Christiano R	2014
YDL106C	hr	5.6	Christiano R	2014
YDL107W	hr	5.7	Christiano R	2014
YDL108W	hr	42.7	Christiano R	2014
YDL110C	hr	3.6	Christiano R	2014
YDL111C	hr	10.3	Christiano R	2014
YDL112W	hr	10.9	Christiano R	2014
YDL113C	hr	10.1	Christiano R	2014
YDL115C	hr	7.7	Christiano R	2014
YDL116W	hr	11.4	Christiano R	2014
YDL117W	hr	12.4	Christiano R	2014
YDL120W	hr	4.9	Christiano R	2014
YDL121C	hr	6.5	Christiano R	2014
YDL122W	hr	8.9	Christiano R	2014
YDL124W	hr	16.8	Christiano R	2014
YDL125C	hr	10.3	Christiano R	2014
YDL126C	hr	9.4	Christiano R	2014
YDL128W	hr	6.5	Christiano R	2014
YDL129W	hr	8.1	Christiano R	2014
YDL130W	hr	11.3	Christiano R	2014
YDL131W	hr	11.9	Christiano R	2014
YDL132W	hr	9.4	Christiano R	2014
YDL133W	hr	5.5	Christiano R	2014
YDL135C	hr	11.0	Christiano R	2014
YDL139C	hr	4.4	Christiano R	2014
YDL140C	hr	6.1	Christiano R	2014
YDL141W	hr	10.6	Christiano R	2014
YDL143W	hr	10.3	Christiano R	2014
YDL144C	hr	10.3	Christiano R	2014
YDL145C	hr	10.9	Christiano R	2014
YDL147W	hr	10.7	Christiano R	2014
YDL148C	hr	8.1	Christiano R	2014
YDL150W	hr	7.8	Christiano R	2014
YDL153C	hr	7.2	Christiano R	2014
YDL156W	hr	6.4	Christiano R	2014
YDL157C	hr	2.1	Christiano R	2014
YDL159W	hr	7.5	Christiano R	2014
YDL160C	hr	8.2	Christiano R	2014
YDL160C-A	hr	7.0	Christiano R	2014
YDL161W	hr	8.8	Christiano R	2014
YDL164C	hr	7.8	Christiano R	2014
YDL165W	hr	17.5	Christiano R	2014
YDL166C	hr	9.0	Christiano R	2014
YDL167C	hr	6.9	Christiano R	2014
YDL168W	hr	11.8	Christiano R	2014
YDL171C	hr	8.5	Christiano R	2014
YDL173W	hr	8.5	Christiano R	2014
YDL174C	hr	6.6	Christiano R	2014
YDL175C	hr	4.0	Christiano R	2014
YDL176W	hr	4.3	Christiano R	2014
YDL178W	hr	9.0	Christiano R	2014
YDL181W	hr	9.9	Christiano R	2014
YDL182W	hr	13.2	Christiano R	2014
YDL183C	hr	23.3	Christiano R	2014
YDL185W	hr	8.8	Christiano R	2014
YDL188C	hr	8.5	Christiano R	2014
YDL189W	hr	6.7	Christiano R	2014
YDL190C	hr	10.9	Christiano R	2014
YDL193W	hr	6.3	Christiano R	2014
YDL195W	hr	11.5	Christiano R	2014
YDL197C	hr	4.3	Christiano R	2014
YDL198C	hr	13.2	Christiano R	2014
YDL201W	hr	9.9	Christiano R	2014
YDL202W	hr	5.7	Christiano R	2014
YDL203C	hr	7.5	Christiano R	2014
YDL204W	hr	1.5	Christiano R	2014
YDL205C	hr	14.3	Christiano R	2014
YDL207W	hr	8.2	Christiano R	2014
YDL208W	hr	10.1	Christiano R	2014
YDL209C	hr	8.1	Christiano R	2014
YDL212W	hr	9.0	Christiano R	2014
YDL213C	hr	7.8	Christiano R	2014
YDL215C	hr	13.3	Christiano R	2014
YDL217C	hr	13.1	Christiano R	2014
YDL219W	hr	11.3	Christiano R	2014
YDL220C	hr	7.0	Christiano R	2014
YDL224C	hr	3.2	Christiano R	2014
YDL225W	hr	10.1	Christiano R	2014
YDL226C	hr	10.3	Christiano R	2014
YDL229W	hr	9.6	Christiano R	2014
YDL230W	hr	12.0	Christiano R	2014
YDL234C	hr	8.1	Christiano R	2014
YDL235C	hr	9.7	Christiano R	2014
YDL236W	hr	9.4	Christiano R	2014
YDL237W	hr	7.7	Christiano R	2014
YDL240W	hr	6.4	Christiano R	2014
YDR001C	hr	9.4	Christiano R	2014
YDR002W	hr	10.4	Christiano R	2014
YDR003W	hr	2.6	Christiano R	2014
YDR005C	hr	6.8	Christiano R	2014
YDR007W	hr	13.7	Christiano R	2014
YDR012W	hr	8.9	Christiano R	2014
YDR013W	hr	9.0	Christiano R	2014
YDR016C	hr	5.1	Christiano R	2014
YDR017C	hr	5.8	Christiano R	2014
YDR019C	hr	9.7	Christiano R	2014
YDR020C	hr	8.8	Christiano R	2014
YDR021W	hr	9.4	Christiano R	2014
YDR022C	hr	5.6	Christiano R	2014
YDR023W	hr	10.5	Christiano R	2014
YDR027C	hr	12.5	Christiano R	2014
YDR028C	hr	7.4	Christiano R	2014
YDR031W	hr	9.2	Christiano R	2014
YDR032C	hr	9.1	Christiano R	2014
YDR033W	hr	10.2	Christiano R	2014
YDR035W	hr	15.4	Christiano R	2014
YDR036C	hr	7.5	Christiano R	2014
YDR037W	hr	12.1	Christiano R	2014
YDR039C	hr	3.8	Christiano R	2014
YDR040C	hr	2.8	Christiano R	2014
YDR041W	hr	5.9	Christiano R	2014
YDR044W	hr	12.1	Christiano R	2014
YDR045C	hr	5.0	Christiano R	2014
YDR047W	hr	43.0	Christiano R	2014
YDR049W	hr	9.5	Christiano R	2014
YDR050C	hr	11.2	Christiano R	2014
YDR051C	hr	9.0	Christiano R	2014
YDR052C	hr	6.3	Christiano R	2014
YDR054C	hr	3.3	Christiano R	2014
YDR055W	hr	1.9	Christiano R	2014
YDR056C	hr	7.4	Christiano R	2014
YDR060W	hr	8.1	Christiano R	2014
YDR061W	hr	13.9	Christiano R	2014
YDR062W	hr	8.6	Christiano R	2014
YDR063W	hr	16.9	Christiano R	2014
YDR064W	hr	10.6	Christiano R	2014
YDR067C	hr	14.6	Christiano R	2014
YDR068W	hr	9.1	Christiano R	2014
YDR071C	hr	10.6	Christiano R	2014
YDR074W	hr	9.7	Christiano R	2014
YDR077W	min	13.1	Christiano R	2014
YDR079C-A	hr	6.3	Christiano R	2014
YDR080W	hr	5.6	Christiano R	2014
YDR081C	hr	8.8	Christiano R	2014
YDR083W	hr	7.5	Christiano R	2014
YDR084C	hr	8.0	Christiano R	2014
YDR086C	min	40.4	Christiano R	2014
YDR087C	hr	8.3	Christiano R	2014
YDR088C	hr	8.4	Christiano R	2014
YDR089W	hr	8.5	Christiano R	2014
YDR091C	hr	9.5	Christiano R	2014
YDR093W	hr	11.3	Christiano R	2014
YDR096W	hr	8.5	Christiano R	2014
YDR097C	hr	7.7	Christiano R	2014
YDR098C	hr	13.6	Christiano R	2014
YDR099W	hr	10.8	Christiano R	2014
YDR101C	hr	9.1	Christiano R	2014
YDR103W	hr	3.0	Christiano R	2014
YDR107C	hr	6.3	Christiano R	2014
YDR108W	hr	10.0	Christiano R	2014
YDR109C	hr	8.2	Christiano R	2014
YDR110W	hr	7.7	Christiano R	2014
YDR111C	hr	5.3	Christiano R	2014
YDR116C	hr	8.3	Christiano R	2014
YDR117C	hr	9.3	Christiano R	2014
