UID,BC187_YPD_Avg_log2_Fitness_Score,BC187_FDR,BY4743_YPD_Avg_log2_Fitness_Score,BY4743_FDR,DBVPG1373_YPD_Avg_log2_Fitness_Score,DBVPG1373_FDR,NCYC3290_YPD_Avg_log2_Fitness_Score,NCYC3290_FDR,Y12_YPD_Avg_log2_Fitness_Score,Y12_FDR,Y2209_YPD_Avg_log2_Fitness_Score,Y2209_FDR,Y389_YPD_Avg_log2_Fitness_Score,Y389_FDR,Y7568_YPD_Avg_log2_Fitness_Score,Y7568_FDR,YJM1273_YPD_Avg_log2_Fitness_Score,YJM1273_FDR,YJM1389_YPD_Avg_log2_Fitness_Score,YJM1389_FDR,YJM1592_YPD_Avg_log2_Fitness_Score,YJM1592_FDR,YJM978_YPD_Avg_log2_Fitness_Score,YJM978_FDR,YPS128_YPD_Avg_log2_Fitness_Score,YPS128_FDR,YPS163_YPD_Avg_log2_Fitness_Score,YPS163_FDR,YPS606_YPD_Avg_log2_Fitness_Score,YPS606_FDR
YLR273C,-0.225827229,0.070551271,-0.265324838,0.010978964,-0.772497882,0.000518051,-0.018643817,0.95671611,-1.378135697,0.00000147,-0.467466891,0.055031835,-0.458901974,0.023147988,-0.288645436,0.023207658,-0.638227042,0.132578806,-0.330837384,0.109874421,-0.152869819,0.594028759,-0.761293853,0.012866714,0.722748925,0.007835791,0.192570463,0.257845064,0.150577266,0.815945634
YIL084C,0.221660762,0.085072558,0.393335064,0.00141442,-0.023072083,0.827707364,-0.71031237,0.020883497,-1.426375259,1.02E-09,0.15958074,0.550753318,0.527212764,0.000106765,0.23419702,0.015140658,0.039214171,0.840304693,-0.104397593,0.549024332,0.122147702,0.601071482,0.464418865,0.020939142,0.547252034,0.00614132,0.037803843,0.854315535,0.060474768,0.900895946
YMR181C,0.139828343,0.3064011,-0.090693734,0.421554595,-2.856528783,5.7E-43,-0.378748581,0.109815299,-0.324347975,0.18694077,0.227961485,0.450012819,0.594617254,0.000000225,0.296429599,0.004950024,0.088399122,0.74188935,-0.018409992,0.924818079,0.17087941,0.436912527,0.618023074,0.001927191,0.695016012,0.003186896,0.187061065,0.126321954,0.151857411,0.737701868
YJL126W,-0.254027334,0.162975982,-0.215769945,0.355707009,-1.20435806,1.34E-45,-1.247981916,0.038181495,-0.28564672,0.250560835,0.322716101,0.398837226,0.59441587,0.00000106,-0.314324233,0.016364287,-0.168915502,0.459168909,-0.044277153,0.809711109,-0.34974954,0.167858739,-2.388892596,2.67E-08,0.69129997,0.031883001,-0.102667431,0.475711357,#N/A,#N/A
YMR084W,0.037570178,0.803789198,0.235842335,0.004105061,-0.226112763,0.013525834,-0.165164925,0.472197687,-0.497891544,0.01894542,0.178042332,0.388331417,-0.132214065,0.318068609,0.26981776,0.000112528,-0.022488509,0.87567247,-0.28858436,0.065554586,0.055559579,0.816934421,0.399935182,0.017218653,0.493566867,0.010759652,-0.020180665,0.852431282,0.122166446,0.760892943
YDR404C,-0.134085372,0.342466494,0.216681263,0.02752233,0.067372773,0.537372812,-0.399460483,0.218671934,-1.022284132,0.00000759,0.480347277,0.023405247,-0.013683441,0.941327238,0.206336199,0.036739669,0.167209914,0.219216869,-0.152989075,0.371768177,-0.195257683,0.35820858,0.553925916,0.031989344,0.661134497,0.001744086,0.10568463,0.385727909,0.003537211,0.997478654
YLR271W,0.038673599,0.790886384,0.020958974,0.854162466,-0.517832304,0.000565272,0.471407053,0.17046081,-0.880051714,0.00056286,0.065686083,0.845091344,0.143403107,0.35315873,0.256410919,0.010166862,-0.374380725,0.108304338,-0.261102202,0.169751125,0.139235144,0.538817339,0.528837667,0.001259644,-1.205472959,0.000114458,-0.307120645,0.044675597,0.276163607,0.514219731
YLR435W,-0.146677437,0.26185911,0.384950633,0.0000283,-0.89671429,0.0000501,-0.591344655,0.015396549,-0.593449957,0.012455482,0.083198887,0.772106986,0.248235234,0.072423023,0.271678295,0.003052429,0.06216726,0.738106845,-0.160067128,0.356830029,0.389393138,0.072457765,0.633597308,0.000304767,0.577124563,0.004834615,0.229784888,0.0462967,0.431012045,0.204260563
YGR036C,0.299768367,0.057373772,-0.284390739,0.038155383,0.37373507,0.000601181,-0.177165224,0.709122056,-0.741813099,0.024317117,0.464370449,0.112659812,0.331928752,0.104176335,0.39927788,0.00018114,-0.042366478,0.919302131,-0.07742137,0.707540775,0.451543016,0.092537012,0.571790516,0.029616326,0.726939271,0.002561609,-0.035345304,0.835574518,0.121391422,0.800081521
YHL042W,0.05969428,0.753232463,-0.114600657,0.476367857,0.186661119,0.029278476,0.164118304,0.658247303,-0.486074542,0.067386938,-0.03392712,0.92881353,0.431041109,0.00951736,0.212884254,0.089831981,-0.767398353,0.055842767,0.125811017,0.512864476,-0.012088869,0.975852028,0.507753393,0.002745417,-1.424164913,0.000788721,0.120263792,0.440305454,0.144795903,0.747129036
