ORF	clone identifier
YBL092W	YBL092W::1EP_C4
YBL093C	YBL093C::20NP_E10
YBL095W	YBL095W::23NP_F4
YBL102W	YBL102W::23NP_F5
YBL103C	YBL103C::23NP_F6
YBL105C	YBL105C::1EP_C6
YBL106C	YBL106C::39NP_G3
YBL107C	YBL107C::23NP_F7
YBR001C	YBR001C::23NP_F8
YBR002C	YBR002C::1EP_C7
YBR003W	YBR003W::23NP_F9
YBR004C	YBR004C::1EP_C8
YBR005W	YBR005W::23NP_F10
YBR006W	YBR006W::23NP_F11
YBR007C	YBR007C::23NP_F12
YBR009C	YBR009C::23NP_G2
YBR010W	YBR010W::23NP_G3
YBR011C	YBR011C::1EP_C9
YBR013C	YBR013C::23NP_G4
YBR014C	YBR014C::23NP_G5
YBR015C	YBR015C::23NP_G6
YBR016W	YBR016W::42NP_B3
YBR018C	YBR018C::47NP_C9
YBR019C	YBR019C::23NP_G7
YBR020W	YBR020W::47NP_C4
YBR021W	YBR021W::23NP_G8
YBR022W	YBR022W::23NP_G9
YBR024W	YBR024W::23NP_G10
YBR025C	YBR025C::23NP_G11
YBR026C	YBR026C::23NP_G12
YBR028C	YBR028C::23NP_H1
YBR029C	YBR029C::1EP_C10
YBR030W	YBR030W::47NP_C10
YBR031W	YBR031W::23NP_H2
YBR034C	YBR034C::42NP_B4
YBR035C	YBR035C::23NP_H3
YBR036C	YBR036C::23NP_H4
YBR037C	YBR037C::23NP_H5
YBR038W	YBR038W::1EP_C11
YBR039W	YBR039W::23NP_H6
YBR040W	YBR040W::23NP_H7
YBR041W	YBR041W::42NP_B5
YBR042C	YBR042C::23NP_H8
YBR043C	YBR043C::47NP_C11
YBR044C	YBR044C::23NP_H9
YBR045C	YBR045C::23NP_H10
YBR046C	YBR046C::23NP_H11
YBR047W	YBR047W::23NP_H12
YBR048W	YBR048W::24NP_A1
YBR049C	YBR049C::1EP_C12
YBR050C	YBR050C::24NP_A2
YBR052C	YBR052C::24NP_A3
YBR053C	YBR053C::24NP_A4
YBR055C	YBR055C::1EP_D1
YBR056W	YBR056W::24NP_A6
YBR056W-A	YBR056W-A::43NP_A9
YBR057C	YBR057C::24NP_A7
YBR058C-A	YBR058C-A::43NP_A10
YBR059C	YBR059C::46NP_A1
YBR060C	YBR060C::1EP_D2
YBR061C	YBR061C::24NP_A10
YBR062C	YBR062C::24NP_A11
YBR062C	YBR062C::44NP_C6
YBR063C	YBR063C::24NP_A12
YBR065C	YBR065C::24NP_B1
YBR066C	YBR066C::24NP_B2
YBR067C	YBR067C::24NP_B3
YBR068C	YBR068C::24NP_B4
YBR069C	YBR069C::24NP_B5
YBR070C	YBR070C::1EP_D3
YBR071W	YBR071W::24NP_B6
YBR072C-A	YBR072C-A::43NP_A11
YBR072W	YBR072W::24NP_B7
YBR076W	YBR076W::24NP_B8
YBR077C	YBR077C::24NP_B9
YBR078W	YBR078W::24NP_B10
YBR079C	YBR079C::1EP_D4
YBR080C	YBR080C::12EP_C2
YBR081C	YBR081C::39NP_G4
YBR082C	YBR082C::29NP_E3
YBR083W	YBR083W::17NP_H7
YBR084C-A	YBR084C-A::17NP_H8
YBR084W	YBR084W::46NP_A2
YBR085C-A	YBR085C-A::43NP_A12
YBR085W	YBR085W::29NP_E5
YBR086C	YBR086C::41NP_D4
YBR087W	YBR087W::1EP_D6
YBR088C	YBR088C::1EP_D7
YBR090C	YBR090C::17NP_H9
YBR091C	YBR091C::1EP_D8
YBR092C	YBR092C::29NP_E6
YBR093C	YBR093C::29NP_E7
YBR094W	YBR094W::29NP_E8
YBR095C	YBR095C::29NP_E9
YBR096W	YBR096W::42NP_B6
YBR098W	YBR098W::29NP_E11
YBR098W	YBR098W::44NP_C8
YBR101C	YBR101C::42NP_B7
YBR102C	YBR102C::1EP_D9
YBR103W	YBR103W::29NP_E12
YBR104W	YBR104W::29NP_F1
YBR105C	YBR105C::44NP_C9
YBR106W	YBR106W::29NP_F3
YBR107C	YBR107C::29NP_F4
YBR108W	YBR108W::29NP_F5
YBR109C	YBR109C::1EP_D10
YBR110W	YBR110W::12EP_C3
YBR111C	YBR111C::29NP_F6
YBR111W-A	YBR111W-A::43NP_B1
YBR114W	YBR114W::29NP_F7
YBR117C	YBR117C::29NP_F9
YBR118W	YBR118W::29NP_F10
YBR119W	YBR119W::29NP_F11
YBR120C	YBR120C::29NP_F12
YBR121C	YBR121C::1EP_D12
YBR123C	YBR123C::1EP_E1
YBR125C	YBR125C::17NP_H10
YBR126C	YBR126C::29NP_G1
YBR127C	YBR127C::29NP_G2
YBR128C	YBR128C::29NP_G3
YBR129C	YBR129C::29NP_G4
YBR130C	YBR130C::29NP_G5
YBR131W	YBR131W::17NP_H11
YBR132C	YBR132C::29NP_G6
YBR133C	YBR133C::29NP_G7
YBR133C	YBR133C::44NP_C10
YBR137W	YBR137W::29NP_G8
YBR138C	YBR138C::29NP_G9
YBR139W	YBR139W::29NP_G10
YBR140C	YBR140C::1EP_E4
YBR141C	YBR141C::29NP_G11
YBR142W	YBR142W::1EP_E5
YBR143C	YBR143C::1EP_E6
YBR145W	YBR145W::29NP_G12
YBR146W	YBR146W::29NP_H1
YBR147W	YBR147W::29NP_H2
YBR148W	YBR148W::29NP_H3
YBR149W	YBR149W::29NP_H4
YBR151W	YBR151W::29NP_H5
YBR152W	YBR152W::1EP_E7
YBR153W	YBR153W::1EP_E8
YBR154C	YBR154C::1EP_E9
YBR155W	YBR155W::1EP_E10
YBR156C	YBR156C::29NP_H6
YBR157C	YBR157C::29NP_H7
YBR158W	YBR158W::29NP_H8
YBR160W	YBR160W::1EP_E11
YBR161W	YBR161W::47NP_C12
YBR162W-A	YBR162W-A::29NP_H11
YBR163W	YBR163W::42NP_B8
YBR164C	YBR164C::29NP_H12
YBR165W	YBR165W::30NP_A1
YBR166C	YBR166C::30NP_A2
YBR167C	YBR167C::1EP_E12
YBR168W	YBR168W::17NP_H12
YBR169C	YBR169C::18NP_A1
YBR170C	YBR170C::30NP_A3
YBR171W	YBR171W::30NP_A4
YBR172C	YBR172C::30NP_A5
YBR173C	YBR173C::25NP_F5
YBR175W	YBR175W::42NP_B9
YBR176W	YBR176W::25NP_F6
YBR177C	YBR177C::25NP_F7
YBR179C	YBR179C::39NP_G5
YBR180W	YBR180W::39NP_G6
YBR181C	YBR181C::47NP_D1
YBR182C	YBR182C::47NP_D2
YBR182C-A	YBR182C-A::43NP_B2
YBR183W	YBR183W::25NP_F8
YBR185C	YBR185C::25NP_F9
YBR186W	YBR186W::25NP_F10
YBR187W	YBR187W::25NP_F11
YBR188C	YBR188C::25NP_F12
YBR189W	YBR189W::41NP_H11
YBR191W	YBR191W::2NP_A5
YBR192W	YBR192W::1EP_F1
YBR193C	YBR193C::1EP_F2
YBR194W	YBR194W::25NP_G1
YBR195C	YBR195C::25NP_G2
YBR196C	YBR196C::1EP_F3
YBR196C-B	YBR196C-B::43NP_B3
YBR197C	YBR197C::25NP_G3
YBR198C	YBR198C::1EP_F4
YBR199W	YBR199W::25NP_G4
YBR200W	YBR200W::25NP_G5
YBR200W-A	YBR200W-A::43NP_B4
YBR201W	YBR201W::25NP_G6
YBR201W	YBR201W::44NP_C12
YBR202W	YBR202W::1EP_F5
YBR204C	YBR204C::25NP_G7
YBR205W	YBR205W::25NP_G8
YBR207W	YBR207W::25NP_G9
YBR210W	YBR210W::25NP_G10
YBR211C	YBR211C::1EP_F6
YBR212W	YBR212W::25NP_G11
YBR213W	YBR213W::25NP_G12
YBR214W	YBR214W::25NP_H1
YBR215W	YBR215W::25NP_H2
YBR216C	YBR216C::25NP_H3
YBR217W	YBR217W::25NP_H4
YBR218C	YBR218C::25NP_H5
YBR219C	YBR219C::25NP_H6
YBR220C	YBR220C::25NP_H7
YBR221C	YBR221C::25NP_H8
YBR221W-A	YBR221W-A::43NP_B5
YBR222C	YBR222C::25NP_H9
YBR223C	YBR223C::42NP_B10
YBR225W	YBR225W::25NP_H10
YBR227C	YBR227C::25NP_H11
YBR228W	YBR228W::25NP_H12
YBR229C	YBR229C::26NP_A1
YBR230C	YBR230C::26NP_A2
YBR231C	YBR231C::26NP_A3
YBR233W	YBR233W::26NP_A4
YBR234C	YBR234C::1EP_F7
YBR236C	YBR236C::1EP_F8
YBR237W	YBR237W::1EP_F9
YBR238C	YBR238C::26NP_A5
YBR239C	YBR239C::26NP_A6
YBR241C	YBR241C::26NP_A7
YBR242W	YBR242W::26NP_A8
YBR243C	YBR243C::1EP_F10
YBR244W	YBR244W::26NP_A9
YBR245C	YBR245C::39NP_G8
YBR246W	YBR246W::26NP_A10
YBR247C	YBR247C::1EP_F11
YBR248C	YBR248C::26NP_A11
YBR249C	YBR249C::26NP_A12
YBR250W	YBR250W::26NP_B1
YBR251W	YBR251W::26NP_B2
YBR252W	YBR252W::1EP_F12
YBR253W	YBR253W::1EP_G1
YBR254C	YBR254C::1EP_G2
YBR256C	YBR256C::1EP_G3
YBR257W	YBR257W::1EP_G4
YBR258C	YBR258C::26NP_B4
YBR259W	YBR259W::26NP_B5
YBR261C	YBR261C::26NP_B6
YBR262C	YBR262C::41NP_D5
YBR263W	YBR263W::26NP_B7
YBR264C	YBR264C::26NP_B8
YBR265W	YBR265W::1EP_G5
YBR267W	YBR267W::26NP_B9
YBR268W	YBR268W::39NP_G9
YBR269C	YBR269C::2NP_A3
YBR270C	YBR270C::18NP_A2
YBR271W	YBR271W::2NP_A4
YBR272C	YBR272C::18NP_A3
YBR273C	YBR273C::3NP_A1
YBR274W	YBR274W::44NP_A1
YBR274W	YBR274W::47NP_A1
YBR276C	YBR276C::18NP_A4
YBR278W	YBR278W::37NP_A10
YBR279W	YBR279W::47NP_A2
YBR281C	YBR281C::3NP_A2
YBR282W	YBR282W::3NP_A3
YBR283C	YBR283C::37NP_A11
YBR285W	YBR285W::3NP_A5
YBR286W	YBR286W::37NP_A12
YBR287W	YBR287W::18NP_A5
YBR288C	YBR288C::18NP_A6
YBR289W	YBR289W::18NP_A7
YBR290W	YBR290W::37NP_B1
YBR291C	YBR291C::37NP_B2
YBR293W	YBR293W::37NP_B3
YBR294W	YBR294W::18NP_A8
YBR295W	YBR295W::41NP_D9
YBR296C-A	YBR296C-A::43NP_B7
YBR297W	YBR297W::3NP_A6
YBR298C	YBR298C::37NP_B4
YBR299W	YBR299W::47NP_C1
YBR301W	YBR301W::18NP_A9
YCL001W	YCL001W::41NP_D6
YCL001W-A	YCL001W-A::45NP_F11
YCL001W-B	YCL001W-B::43NP_B8
YCL002C	YCL002C::30NP_A6
YCL004W	YCL004W::1EP_G6
YCL005W-A	YCL005W-A::43NP_B9
YCL008C	YCL008C::30NP_A8
YCL009C	YCL009C::30NP_A9
YCL010C	YCL010C::30NP_A10
YCL011C	YCL011C::30NP_A11
YCL016C	YCL016C::30NP_B1
YCL017C	YCL017C::1EP_G7
YCL025C	YCL025C::30NP_B2
YCL026C-A	YCL026C-A::18NP_A10
YCL026C-B	YCL026C-B::43NP_B10
YCL027W	YCL027W::30NP_B3
YCL028W	YCL028W::30NP_B4
YCL029C	YCL029C::30NP_B5
YCL030C	YCL030C::30NP_B6
YCL031C	YCL031C::1EP_G8
YCL031C	YCL031C::13EP_C1
YCL032W	YCL032W::41NP_D7
YCL033C	YCL033C::30NP_B7
YCL034W	YCL034W::30NP_B8
YCL035C	YCL035C::2NP_A6
YCL036W	YCL036W::30NP_B9
YCL038C	YCL038C::1NP_D9
YCL042W	YCL042W::30NP_B11
YCL043C	YCL043C::1EP_G9
YCL044C	YCL044C::46NP_A5
YCL045C	YCL045C::41NP_D8
YCL047C	YCL047C::30NP_C1
YCL048W	YCL048W::30NP_C2
YCL049C	YCL049C::30NP_C3
YCL050C	YCL050C::30NP_C4
YCL051W	YCL051W::30NP_C5
YCL052C	YCL052C::1EP_G10
YCL054W	YCL054W::1EP_G11
YCL055W	YCL055W::30NP_C6
YCL056C	YCL056C::30NP_C7
YCL057C-A	YCL057C-A::43NP_B11
YCL057W	YCL057W::30NP_C8
YCL059C	YCL059C::1EP_G12
YCL061C	YCL061C::44NP_D3
YCL061C	YCL061C::46NP_A6
YCL063W	YCL063W::30NP_C10
YCL064C	YCL064C::30NP_C11
YCL069W	YCL069W::30NP_C12
YCR002C	YCR002C::30NP_D1
YCR003W	YCR003W::30NP_D2
YCR004C	YCR004C::30NP_D3
YCR005C	YCR005C::30NP_D4
YCR007C	YCR007C::30NP_D5
YCR008W	YCR008W::30NP_D6
YCR009C	YCR009C::30NP_D7
YCR010C	YCR010C::30NP_D8
YCR012W	YCR012W::1EP_H1
YCR014C	YCR014C::30NP_D9
YCR015C	YCR015C::30NP_D10
YCR016W	YCR016W::30NP_D11
YCR019W	YCR019W::30NP_D12
YCR020C	YCR020C::30NP_E1
YCR020C-A	YCR020C-A::30NP_E2
YCR020W-B	YCR020W-B::45NP_F12
YCR021C	YCR021C::30NP_E3
YCR023C	YCR023C::30NP_E4
YCR024C	YCR024C::45NP_G1
YCR026C	YCR026C::3NP_A7
YCR027C	YCR027C::45NP_G2
YCR028C	YCR028C::3NP_A8
YCR028C-A	YCR028C-A::18NP_A11
YCR030C	YCR030C::18NP_A12
YCR031C	YCR031C::37NP_B5
YCR035C	YCR035C::1EP_H2
YCR036W	YCR036W::37NP_B7
YCR037C	YCR037C::3NP_A9
YCR043C	YCR043C::41NP_D10
YCR044C	YCR044C::45NP_G3
YCR045C	YCR045C::45NP_G4
YCR046C	YCR046C::18NP_B1
YCR047C	YCR047C::18NP_B2
YCR048W	YCR048W::39NP_D8
YCR051W	YCR051W::3NP_A10
YCR052W	YCR052W::1EP_H3
YCR053W	YCR053W::39NP_D9
YCR054C	YCR054C::1EP_H4
YCR057C	YCR057C::1EP_H5
YCR059C	YCR059C::3NP_A11
YCR060W	YCR060W::18NP_B3
YCR061W	YCR061W::44NP_A3
YCR063W	YCR063W::45NP_G5
YCR065W	YCR065W::3NP_A12
YCR067C	YCR067C::45NP_H7
YCR068W	YCR068W::3NP_B1
YCR069W	YCR069W::18NP_B5
YCR071C	YCR071C::45NP_G7
YCR072C	YCR072C::1EP_H6
YCR073W-A	YCR073W-A::41NP_D11
YCR075C	YCR075C::39NP_D11
YCR075W-A	YCR075W-A::43NP_B12
YCR076C	YCR076C::37NP_B10
YCR079W	YCR079W::45NP_G8
YCR081W	YCR081W::3NP_B3
YCR083W	YCR083W::18NP_B6
YCR084C	YCR084C::18NP_B7
YCR086W	YCR086W::41NP_D12
YCR087C-A	YCR087C-A::3NP_B4
YCR088W	YCR088W::18NP_B8
YCR090C	YCR090C::47NP_A4
YCR091W	YCR091W::37NP_B11
YCR092C	YCR092C::22NP_E9
YCR094W	YCR094W::22NP_E10
YCR095C	YCR095C::41NP_C5
YCR095W-A	YCR095W-A::43NP_C1
YCR098C	YCR098C::22NP_E11
YCR099C	YCR099C::22NP_E12
YCR100C	YCR100C::22NP_F1
YCR101C	YCR101C::22NP_F2
YCR102C	YCR102C::22NP_F3
YCR105W	YCR105W::22NP_F4
YCR106W	YCR106W::22NP_F5
YCR107W	YCR107W::23NP_B8
YDL001W	YDL001W::30NP_E5
YDL002C	YDL002C::30NP_E6
YDL003W	YDL003W::1EP_H8
YDL004W	YDL004W::1EP_H9
YDL005C	YDL005C::30NP_E7
YDL006W	YDL006W::30NP_E8
YDL007W	YDL007W::1EP_H10
YDL008W	YDL008W::1EP_H11
YDL010W	YDL010W::30NP_E9
YDL012C	YDL012C::30NP_E10
YDL013W	YDL013W::30NP_E11
YDL014W	YDL014W::1EP_H12
YDL017W	YDL017W::2EP_A2
YDL018C	YDL018C::30NP_E12
YDL019C	YDL019C::30NP_F1
YDL020C	YDL020C::30NP_F2
YDL022W	YDL022W::30NP_F4
YDL024C	YDL024C::30NP_F5
YDL025C	YDL025C::42NP_B11
YDL027C	YDL027C::30NP_F6
YDL028C	YDL028C::2EP_A3
YDL029W	YDL029W::2EP_A4
YDL030W	YDL030W::2EP_A5
YDL031W	YDL031W::2EP_A6
YDL033C	YDL033C::30NP_F7
YDL036C	YDL036C::30NP_F9
YDL037C	YDL037C::30NP_F10
YDL038C	YDL038C::30NP_F11
YDL039C	YDL039C::39NP_G10
YDL040C	YDL040C::30NP_F12
YDL042C	YDL042C::47NP_D3
YDL043C	YDL043C::2EP_A7
YDL044C	YDL044C::47NP_D4
YDL045C	YDL045C::2EP_A8
YDL046W	YDL046W::30NP_G2
YDL047W	YDL047W::30NP_G3
YDL048C	YDL048C::30NP_G4
YDL049C	YDL049C::47NP_D5
YDL051W	YDL051W::30NP_G5
YDL052C	YDL052C::30NP_G6
YDL053C	YDL053C::30NP_G7
YDL054C	YDL054C::30NP_G8
YDL055C	YDL055C::2EP_A9
YDL056W	YDL056W::30NP_G9
YDL057W	YDL057W::42NP_B12
YDL059C	YDL059C::30NP_G10
YDL060W	YDL060W::2EP_A11
YDL061C	YDL061C::30NP_G11
YDL063C	YDL063C::30NP_G12
YDL064W	YDL064W::2EP_A12
YDL065C	YDL065C::30NP_H1
YDL066W	YDL066W::30NP_H2
YDL067C	YDL067C::30NP_H3
YDL069C	YDL069C::44NP_D5
YDL070W	YDL070W::30NP_H5
YDL072C	YDL072C::30NP_H6
YDL074C	YDL074C::30NP_H7
YDL075W	YDL075W::30NP_H8
YDL076C	YDL076C::30NP_H9
YDL077C	YDL077C::30NP_H10
YDL077C	YDL077C::44NP_D6
YDL078C	YDL078C::30NP_H11
YDL079C	YDL079C::30NP_H12
YDL080C	YDL080C::39NP_G11
YDL082W	YDL082W::31NP_A2
YDL083C	YDL083C::31NP_A3
YDL084W	YDL084W::2EP_B1
YDL085C-A	YDL085C-A::43NP_C2
YDL085W	YDL085W::31NP_A4
YDL086W	YDL086W::31NP_A5
YDL087C	YDL087C::2EP_B2
YDL088C	YDL088C::31NP_A6
YDL089W	YDL089W::31NP_A7
YDL090C	YDL090C::31NP_A8
YDL091C	YDL091C::31NP_A9
YDL092W	YDL092W::2EP_B3
YDL093W	YDL093W::31NP_A10
YDL097C	YDL097C::2EP_B4
YDL098C	YDL098C::2EP_B5
YDL099W	YDL099W::26NP_B10
YDL100C	YDL100C::26NP_B11
YDL101C	YDL101C::26NP_B12
YDL102W	YDL102W::12EP_C5
YDL103C	YDL103C::2EP_B7
YDL104C	YDL104C::26NP_C1
YDL105W	YDL105W::2EP_B8
YDL106C	YDL106C::26NP_C2
YDL107W	YDL107W::26NP_C3
YDL108W	YDL108W::2EP_B9
YDL109C	YDL109C::26NP_C4
YDL110C	YDL110C::26NP_C5
YDL113C	YDL113C::47NP_D6
YDL114W	YDL114W::26NP_C7
YDL115C	YDL115C::26NP_C8
YDL116W	YDL116W::26NP_C9
YDL117W	YDL117W::26NP_C10
YDL119C	YDL119C::26NP_C11
YDL120W	YDL120W::2EP_B11
YDL121C	YDL121C::26NP_C12
YDL122W	YDL122W::26NP_D1
YDL123W	YDL123W::26NP_D2
YDL124W	YDL124W::26NP_D3
YDL125C	YDL125C::26NP_D4
YDL126C	YDL126C::2EP_B12
YDL127W	YDL127W::26NP_D5
YDL128W	YDL128W::26NP_D6
YDL129W	YDL129W::26NP_D7
YDL130W	YDL130W::26NP_D8
YDL130W-A	YDL130W-A::22NP_F6
YDL133C-A	YDL133C-A::16NP_H11
YDL133W	YDL133W::26NP_D9
YDL134C	YDL134C::26NP_D10
YDL135C	YDL135C::26NP_D11
YDL136W	YDL136W::26NP_D12
YDL137W	YDL137W::26NP_E1
YDL138W	YDL138W::26NP_E2
YDL139C	YDL139C::2EP_C2
YDL141W	YDL141W::2EP_C4
YDL142C	YDL142C::26NP_E3
YDL143W	YDL143W::2EP_C5
YDL144C	YDL144C::26NP_E4
YDL145C	YDL145C::2EP_C6
YDL146W	YDL146W::26NP_E5
YDL147W	YDL147W::2EP_C7
YDL148C	YDL148C::2EP_C8
YDL149W	YDL149W::26NP_E6
YDL150W	YDL150W::2EP_C9
YDL153C	YDL153C::2EP_C10
YDL154W	YDL154W::26NP_E7
YDL155W	YDL155W::26NP_E8
YDL156W	YDL156W::26NP_E9
YDL157C	YDL157C::26NP_E10
YDL159W	YDL159W::26NP_E11
YDL159W-A	YDL159W-A::43NP_C3
YDL160C	YDL160C::26NP_E12
YDL160C-A	YDL160C-A::43NP_C4
YDL161W	YDL161W::26NP_F1
YDL164C	YDL164C::2EP_C11
YDL165W	YDL165W::2EP_C12
YDL166C	YDL166C::12EP_C7
YDL167C	YDL167C::26NP_F2
YDL168W	YDL168W::26NP_F3
YDL169C	YDL169C::26NP_F4
YDL170W	YDL170W::26NP_F5
YDL173W	YDL173W::42NP_C1
YDL174C	YDL174C::26NP_F7
YDL175C	YDL175C::26NP_F8
YDL176W	YDL176W::26NP_F9
YDL177C	YDL177C::26NP_F10
YDL178W	YDL178W::26NP_F11
YDL179W	YDL179W::26NP_F12
YDL180W	YDL180W::26NP_G1
YDL181W	YDL181W::26NP_G2
YDL182W	YDL182W::26NP_G3
YDL183C	YDL183C::26NP_G4
YDL184C	YDL184C::26NP_G5
YDL185W	YDL185W::26NP_G6
YDL186W	YDL186W::26NP_G7
YDL188C	YDL188C::26NP_G8
YDL189W	YDL189W::26NP_G9
YDL190C	YDL190C::26NP_G10
YDL191W	YDL191W::26NP_G11
YDL192W	YDL192W::26NP_G12
YDL193W	YDL193W::2EP_D2
YDL194W	YDL194W::39NP_E3
YDL195W	YDL195W::2EP_D3
YDL197C	YDL197C::26NP_H1
YDL198C	YDL198C::47NP_D7
YDL199C	YDL199C::26NP_H2
YDL200C	YDL200C::26NP_H3
YDL201W	YDL201W::26NP_H4
YDL202W	YDL202W::46NP_A9
YDL203C	YDL203C::26NP_H6
YDL204W	YDL204W::26NP_H7
YDL205C	YDL205C::2EP_D4
