,Chromosome,MEAN RG,verified genes,dubious genes,uncharacterized genes,ARS,ltr,ncRNA,Retrotransposon,snoRNA,tRNA,rRNA,snRNA,Total Features,Chr length,verified & uncharacterized,total genes,model2,model2-,model2_2,model2_2-,model2_neg,model2_neg-,model2_pos,model2_pos-,model2_T,model2_T-,model2_NB,model2_NB-,Nb toxic,model2-/nb genes,model2_T/nb genes
31,9,96.45380654,180,25,28,16,6,2.0,0.0,1.0,10.0,0.0,0.0,268.0,430085,208,233,-149.44020850556066,149.44020850556066,-183.812841084151,183.812841084151,-183.812841084151,183.812841084151,34.37263257859032,-34.37263257859032,-156.31061706441687,156.31061706441687,6.870408558856213,-6.870408558856213,70,0.7184625408921186,2.2330088152059555
32,10,84.87407776,316,29,38,23,15,1.0,1.0,5.0,24.0,0.0,0.0,452.0,721726,354,383,-250.69539791795762,250.69539791795762,-300.881354875954,300.881354875954,-300.881354875954,300.881354875954,50.18595695799639,-50.18595695799639,-252.72927648558198,252.72927648558198,2.033878567624348,-2.033878567624348,117,0.708179090163722,2.1600792862015554
33,10,84.77967973,316,29,38,23,15,1.0,1.0,5.0,24.0,0.0,0.0,452.0,721726,354,383,-250.69539791795762,250.69539791795762,-300.881354875954,300.881354875954,-300.881354875954,300.881354875954,50.18595695799639,-50.18595695799639,-252.72927648558198,252.72927648558198,2.033878567624348,-2.033878567624348,117,0.708179090163722,2.1600792862015554
34,10,86.64830624,316,29,38,23,15,1.0,1.0,5.0,24.0,0.0,0.0,452.0,721726,354,383,-250.69539791795762,250.69539791795762,-300.881354875954,300.881354875954,-300.881354875954,300.881354875954,50.18595695799639,-50.18595695799639,-252.72927648558198,252.72927648558198,2.033878567624348,-2.033878567624348,117,0.708179090163722,2.1600792862015554
35,10,82.15917628,316,29,38,23,15,1.0,1.0,5.0,24.0,0.0,0.0,452.0,721726,354,383,-250.69539791795762,250.69539791795762,-300.881354875954,300.881354875954,-300.881354875954,300.881354875954,50.18595695799639,-50.18595695799639,-252.72927648558198,252.72927648558198,2.033878567624348,-2.033878567624348,117,0.708179090163722,2.1600792862015554
36,11,78.4897287,294,22,18,17,10,0.0,1.0,5.0,16.0,0.0,0.0,383.0,669333,312,334,-204.73728690895575,204.73728690895575,-256.5418742906251,256.5418742906251,-256.5418742906251,256.5418742906251,51.80458738166935,-51.80458738166935,-213.584744351354,213.584744351354,8.847457442398262,-8.847457442398262,90,0.6562092529133198,2.3731638261261554
37,11,79.56151579,294,22,18,17,10,0.0,1.0,5.0,16.0,0.0,0.0,383.0,669333,312,334,-204.73728690895575,204.73728690895575,-256.5418742906251,256.5418742906251,-256.5418742906251,256.5418742906251,51.80458738166935,-51.80458738166935,-213.584744351354,213.584744351354,8.847457442398262,-8.847457442398262,90,0.6562092529133198,2.3731638261261554
38,11,78.80036765,294,22,18,17,10,0.0,1.0,5.0,16.0,0.0,0.0,383.0,669333,312,334,-204.73728690895575,204.73728690895575,-256.5418742906251,256.5418742906251,-256.5418742906251,256.5418742906251,51.80458738166935,-51.80458738166935,-213.584744351354,213.584744351354,8.847457442398262,-8.847457442398262,90,0.6562092529133198,2.3731638261261554
39,11,82.0287439,294,22,18,17,10,0.0,1.0,5.0,16.0,0.0,0.0,383.0,669333,312,334,-204.73728690895575,204.73728690895575,-256.5418742906251,256.5418742906251,-256.5418742906251,256.5418742906251,51.80458738166935,-51.80458738166935,-213.584744351354,213.584744351354,8.847457442398262,-8.847457442398262,90,0.6562092529133198,2.3731638261261554
40,12,62.76595745,431,49,46,28,24,0.0,1.0,7.0,21.0,8.0,1.0,616.0,1005854,477,526,-325.71744627724496,325.71744627724496,-395.0348653280182,395.0348653280182,-395.0348653280182,395.0348653280182,69.31741905077327,-69.31741905077327,-335.3670222811704,335.3670222811704,9.649576003925482,-9.649576003925482,166,0.6828457993233646,2.0202832667540385
41,12,54.54545455,431,49,46,28,24,0.0,1.0,7.0,21.0,8.0,1.0,616.0,1005854,477,526,-325.71744627724496,325.71744627724496,-395.0348653280182,395.0348653280182,-395.0348653280182,395.0348653280182,69.31741905077327,-69.31741905077327,-335.3670222811704,335.3670222811704,9.649576003925482,-9.649576003925482,166,0.6828457993233646,2.0202832667540385
42,12,60.63829787,431,49,46,28,24,0.0,1.0,7.0,21.0,8.0,1.0,616.0,1005854,477,526,-325.71744627724496,325.71744627724496,-395.0348653280182,395.0348653280182,-395.0348653280182,395.0348653280182,69.31741905077327,-69.31741905077327,-335.3670222811704,335.3670222811704,9.649576003925482,-9.649576003925482,166,0.6828457993233646,2.0202832667540385
43,12,62.3655914,431,49,46,28,24,0.0,1.0,7.0,21.0,8.0,1.0,616.0,1005854,477,526,-325.71744627724496,325.71744627724496,-395.0348653280182,395.0348653280182,-395.0348653280182,395.0348653280182,69.31741905077327,-69.31741905077327,-335.3670222811704,335.3670222811704,9.649576003925482,-9.649576003925482,166,0.6828457993233646,2.0202832667540385
44,13,63.2183908,396,32,51,24,17,3.0,0.0,13.0,21.0,0.0,0.0,557.0,915334,447,479,-299.42453620210307,299.42453620210307,-356.84048191740527,356.84048191740527,-356.84048191740527,356.84048191740527,57.41594571530224,-57.41594571530224,-297.3712218328957,297.3712218328957,-2.053314369207391,2.053314369207391,154,0.6698535485505661,1.930981959953868
45,13,53.11164376,396,32,51,24,17,3.0,0.0,13.0,21.0,0.0,0.0,557.0,915334,447,479,-299.42453620210307,299.42453620210307,-356.84048191740527,356.84048191740527,-356.84048191740527,356.84048191740527,57.41594571530224,-57.41594571530224,-297.3712218328957,297.3712218328957,-2.053314369207391,2.053314369207391,154,0.6698535485505661,1.930981959953868
46,13,64.66400431,396,32,51,24,17,3.0,0.0,13.0,21.0,0.0,0.0,557.0,915334,447,479,-299.42453620210307,299.42453620210307,-356.84048191740527,356.84048191740527,-356.84048191740527,356.84048191740527,57.41594571530224,-57.41594571530224,-297.3712218328957,297.3712218328957,-2.053314369207391,2.053314369207391,154,0.6698535485505661,1.930981959953868
47,13,60.99383499,396,32,51,24,17,3.0,0.0,13.0,21.0,0.0,0.0,557.0,915334,447,479,-299.42453620210307,299.42453620210307,-356.84048191740527,356.84048191740527,-356.84048191740527,356.84048191740527,57.41594571530224,-57.41594571530224,-297.3712218328957,297.3712218328957,-2.053314369207391,2.053314369207391,154,0.6698535485505661,1.930981959953868
48,14,80.16906838,342,34,37,20,9,0.0,0.0,5.0,14.0,0.0,1.0,462.0,731293,379,413,-227.26780037112573,227.26780037112573,-291.61535713047726,291.61535713047726,-291.61535713047726,291.61535713047726,64.34755675935155,-64.34755675935155,-243.5255070662024,243.5255070662024,16.25770669507669,-16.25770669507669,113,0.599651188314316,2.155092982886747
49,14,76.70959407,342,34,37,20,9,0.0,0.0,5.0,14.0,0.0,1.0,462.0,731293,379,413,-227.26780037112573,227.26780037112573,-291.61535713047726,291.61535713047726,-291.61535713047726,291.61535713047726,64.34755675935155,-64.34755675935155,-243.5255070662024,243.5255070662024,16.25770669507669,-16.25770669507669,113,0.599651188314316,2.155092982886747
50,14,77.17391304,342,34,37,20,9,0.0,0.0,5.0,14.0,0.0,1.0,462.0,731293,379,413,-227.26780037112573,227.26780037112573,-291.61535713047726,291.61535713047726,-291.61535713047726,291.61535713047726,64.34755675935155,-64.34755675935155,-243.5255070662024,243.5255070662024,16.25770669507669,-16.25770669507669,113,0.599651188314316,2.155092982886747
51,14,78.40909091,342,34,37,20,9,0.0,0.0,5.0,14.0,0.0,1.0,462.0,731293,379,413,-227.26780037112573,227.26780037112573,-291.61535713047726,291.61535713047726,-291.61535713047726,291.61535713047726,64.34755675935155,-64.34755675935155,-243.5255070662024,243.5255070662024,16.25770669507669,-16.25770669507669,113,0.599651188314316,2.155092982886747
52,15,44.86321029,478,52,46,20,24,0.0,2.0,11.0,20.0,0.0,0.0,653.0,1071422,524,576,-399.8738922598733,399.8738922598733,-461.5133275459201,461.5133275459201,-461.5133275459201,461.5133275459201,61.63943528604682,-61.63943528604682,-385.8024512193757,385.8024512193757,-14.071441040497607,14.071441040497607,168,0.7631181149997582,2.2964431620200934
53,15,41.91284191,478,52,46,20,24,0.0,2.0,11.0,20.0,0.0,0.0,653.0,1071422,524,576,-399.8738922598733,399.8738922598733,-461.5133275459201,461.5133275459201,-461.5133275459201,461.5133275459201,61.63943528604682,-61.63943528604682,-385.8024512193757,385.8024512193757,-14.071441040497607,14.071441040497607,168,0.7631181149997582,2.2964431620200934
54,15,39.01292413,478,52,46,20,24,0.0,2.0,11.0,20.0,0.0,0.0,653.0,1071422,524,576,-399.8738922598733,399.8738922598733,-461.5133275459201,461.5133275459201,-461.5133275459201,461.5133275459201,61.63943528604682,-61.63943528604682,-385.8024512193757,385.8024512193757,-14.071441040497607,14.071441040497607,168,0.7631181149997582,2.2964431620200934
55,15,37.26394184,478,52,46,20,24,0.0,2.0,11.0,20.0,0.0,0.0,653.0,1071422,524,576,-399.8738922598733,399.8738922598733,-461.5133275459201,461.5133275459201,-461.5133275459201,461.5133275459201,61.63943528604682,-61.63943528604682,-385.8024512193757,385.8024512193757,-14.071441040497607,14.071441040497607,168,0.7631181149997582,2.2964431620200934
